"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksbanut  ","P",05/08/2012 9:10,1,1,1         ,1         ,"",0.0030,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.2900,<0>  ,7.7000,<0>  ,
"lksbanut  ","P",05/08/2012 9:11,1,1,1         ,2         ,"",0.0030,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.2840,<0>  ,10.1000,<0>  ,
"lksbanut  ","P",06/13/2012 16:19,1,1,1         ,1         ,"",0.0150,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.2070,<1> [GQS] (CSM) ,8.3100,<0>  ,
"lksbanut  ","P",06/13/2012 16:20,1,1,1         ,2         ,"",0.0160,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.2060,<1> [GQS] (CSM) ,7.4700,<0>  ,
"lksbanut  ","P",06/27/2012 17:15,1,1,1         ,1         ,"{CSM}",0.0020,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.1010,<1> [GQS] (CSM) ,12.1800,<0>  ,
"lksbanut  ","P",06/27/2012 17:16,1,1,1         ,2         ,"{CSM}",0.0010,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.0980,<1> [GQS] (CSM) ,5.4300,<0>  ,
"lksbanut  ","P",07/12/2012 10:40,1,1,1         ,1         ,"",0.0070,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.1920,<0>  ,2.9300,<0>  ,
"lksbanut  ","P",07/12/2012 10:41,1,1,1         ,2         ,"",0.0080,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.1920,<0>  ,2.6300,<0>  ,
"lksbanut  ","P",08/06/2012 9:14,1,1,1         ,1         ,"",0.0250,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.4470,<0>  ,7.3600,<0>  ,
"lksbanut  ","P",08/06/2012 9:15,1,1,1         ,2         ,"",0.0260,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.4340,<0>  ,7.5900,<0>  ,
"lksbanut  ","P",09/04/2012 11:45,1,1,1         ,1         ,"",0.0030,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.1200,<0>  ,29.4900,<0>  ,
"lksbanut  ","P",09/04/2012 11:46,1,1,1         ,2         ,"",0.0030,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.1230,<0>  ,30.8400,<0>  ,
"lksbanut  ","P",10/02/2012 9:00,1,1,1         ,1         ,"",0.0170,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.2630,<0>  ,13.3200,<0>  ,
"lksbanut  ","P",10/02/2012 9:01,1,1,1         ,2         ,"",0.0180,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.2840,<0>  ,9.5100,<0>  ,
"lksbanut  ","P",11/07/2012 10:10,1,1,1         ,1         ,"",0.0360,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.3440,<0>  ,12.6900,<0>  ,
"lksbanut  ","P",11/07/2012 10:11,1,1,1         ,2         ,"",0.0160,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.3460,<0>  ,13.3600,<0>  ,
