"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"lksbawq  ","P",03/08/2024 15:00,0,1,"",3.3,<-3> [GSM] (CMC),0.21,<-3> [GSM] (CMC),0.1,<-3> [GSM] (CMC),86.6,<-3> [GSM] (CMC),11.6,<-3> [GSM] (CMC),1.19,<-3> [GSM] (CMC),"",<-3> [GCR],"",<-1> ,"","",8.2,<-3> [GSM] (CMC),6,<-3> [GSM] (CMC),18.9,<-3> [GSM] (CMC),
"lksbawq  ","P",03/08/2024 15:15,0,1,"",1.9,<0> ,0.22,<0> ,0.1,<0> ,106.3,<0> ,14.7,<0> ,1.19,<0> ,1.12,<3> ,"",<-1> ,"","",7.9,<0> ,6,<0> ,17.2,<0> ,
"lksbawq  ","P",03/08/2024 15:30,0,1,"",2.0,<0> ,0.22,<0> ,0.1,<0> ,107.3,<0> ,14.8,<0> ,1.17,<0> ,1.1,<3> ,"",<-1> ,"","",8.0,<0> ,7,<0> ,29.9,<0> ,
"lksbawq  ","P",03/08/2024 15:45,0,1,"",2.1,<0> ,0.22,<0> ,0.1,<0> ,107.5,<0> ,14.8,<0> ,1.15,<0> ,1.08,<3> ,"",<-1> ,"","",8.0,<0> ,6,<0> ,20.5,<0> ,
"lksbawq  ","P",03/08/2024 16:00,0,1,"",2.0,<0> ,0.22,<0> ,0.1,<0> ,107.0,<0> ,14.8,<0> ,1.13,<0> ,1.06,<3> ,"",<-1> ,"","",8.0,<0> ,6,<0> ,29.3,<0> ,
"lksbawq  ","P",03/08/2024 16:15,0,1,"",2.2,<0> ,0.22,<0> ,0.1,<0> ,107.7,<0> ,14.8,<0> ,1.11,<0> ,1.04,<3> ,"",<-1> ,"","",8.0,<0> ,5,<0> ,17.5,<0> ,
"lksbawq  ","P",03/08/2024 16:30,0,1,"",2.1,<0> ,0.22,<0> ,0.1,<0> ,107.5,<0> ,14.8,<0> ,1.07,<0> ,1.0,<3> ,"",<-1> ,"","",8.0,<0> ,5,<0> ,23.0,<0> ,
"lksbawq  ","P",03/08/2024 16:45,0,1,"",2.1,<0> ,0.22,<0> ,0.1,<0> ,107.4,<0> ,14.8,<0> ,1.07,<0> ,1.0,<3> ,"",<-1> ,"","",8.0,<0> ,6,<0> ,22.8,<0> ,
"lksbawq  ","P",03/08/2024 17:00,0,1,"",2.1,<0> ,0.22,<0> ,0.1,<0> ,107.5,<0> ,14.8,<0> ,1.07,<0> ,1.0,<3> ,"",<-1> ,"","",8.0,<0> ,5,<0> ,28.7,<0> ,
"lksbawq  ","P",03/08/2024 17:15,0,1,"",2.1,<0> ,0.22,<0> ,0.1,<0> ,107.6,<0> ,14.8,<0> ,1.09,<0> ,1.02,<3> ,"",<-1> ,"","",8.0,<0> ,5,<0> ,28.5,<0> ,
"lksbawq  ","P",03/08/2024 17:30,0,1,"",2.2,<0> ,0.22,<0> ,0.1,<0> ,107.9,<0> ,14.9,<0> ,1.1,<0> ,1.03,<3> ,"",<-1> ,"","",8.0,<0> ,5,<0> ,19.5,<0> ,
"lksbawq  ","P",03/08/2024 17:45,0,1,"",2.2,<0> ,0.22,<0> ,0.1,<0> ,108.0,<0> ,14.9,<0> ,1.06,<0> ,0.99,<3> ,"",<-1> ,"","",8.0,<0> ,5,<0> ,21.6,<0> ,
"lksbawq  ","P",03/08/2024 18:00,0,1,"",2.1,<0> ,0.22,<0> ,0.1,<0> ,107.2,<0> ,14.8,<0> ,1.1,<0> ,1.03,<3> ,"",<-1> ,"","",8.0,<0> ,5,<0> ,21.0,<0> ,
"lksbawq  ","P",03/08/2024 18:15,0,1,"",2.2,<0> ,0.22,<0> ,0.1,<0> ,107.8,<0> ,14.8,<0> ,1.07,<0> ,1.0,<3> ,"",<-1> ,"","",8.0,<0> ,5,<0> ,43.8,<0> ,
"lksbawq  ","P",03/08/2024 18:30,0,1,"",2.2,<0> ,0.22,<0> ,0.1,<0> ,107.8,<0> ,14.8,<0> ,1.1,<0> ,1.03,<3> ,"",<-1> ,"","",8.0,<0> ,6,<0> ,19.7,<0> ,
"lksbawq  ","P",03/08/2024 18:45,0,1,"",2.1,<0> ,0.22,<0> ,0.1,<0> ,107.5,<0> ,14.8,<0> ,1.09,<0> ,1.02,<3> ,"",<-1> ,"","",8.0,<0> ,6,<0> ,19.7,<0> ,
"lksbawq  ","P",03/08/2024 19:00,0,1,"",2.1,<0> ,0.22,<0> ,0.1,<0> ,107.2,<0> ,14.8,<0> ,1.12,<0> ,1.05,<3> ,"",<-1> ,"","",8.0,<0> ,5,<0> ,22.9,<0> ,
"lksbawq  ","P",03/08/2024 19:15,0,1,"",2.2,<0> ,0.22,<0> ,0.1,<0> ,108.1,<0> ,14.9,<0> ,1.1,<0> ,1.03,<3> ,"",<-1> ,"","",8.0,<0> ,5,<0> ,35.3,<0> ,
"lksbawq  ","P",03/08/2024 19:30,0,1,"",2.1,<0> ,0.22,<0> ,0.1,<0> ,107.5,<0> ,14.8,<0> ,1.09,<0> ,1.02,<3> ,"",<-1> ,"","",8.0,<0> ,6,<0> ,25.8,<0> ,
"lksbawq  ","P",03/08/2024 19:45,0,1,"",2.1,<0> ,0.22,<0> ,0.1,<0> ,107.6,<0> ,14.8,<0> ,1.06,<0> ,0.99,<3> ,"",<-1> ,"","",8.0,<0> ,5,<0> ,47.2,<0> ,
"lksbawq  ","P",03/08/2024 20:00,0,1,"",2.1,<0> ,0.22,<0> ,0.1,<0> ,107.4,<0> ,14.8,<0> ,1.07,<0> ,1.0,<3> ,"",<-1> ,"","",8.0,<0> ,6,<0> ,31.2,<0> ,
"lksbawq  ","P",03/08/2024 20:15,0,1,"",2.1,<0> ,0.22,<0> ,0.1,<0> ,107.4,<0> ,14.8,<0> ,1.05,<0> ,0.98,<3> ,"",<-1> ,"","",8.0,<0> ,6,<0> ,34.2,<0> ,
