"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksblnut  ","P",02/28/2018 10:38,1,1,1         ,1         ,"{CIP}",0.0070,<-4> [SBL] ,0.1220,<0>  ,0.0180,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.3980,<1> (CHB) ,0.8000,<0>  ,
"lksblnut  ","P",02/28/2018 10:39,1,1,1         ,2         ,"{CIP}",0.0070,<-4> [SBL] ,0.1230,<0>  ,0.0180,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.3980,<1> (CHB) ,1.0000,<0>  ,
"lksblnut  ","P",05/22/2018 13:10,1,1,1         ,1         ,"",0.0070,<0>  ,0.0840,<0>  ,0.0180,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.1700,<1> (CHB) ,7.6000,<0>  ,
"lksblnut  ","P",05/22/2018 13:11,1,1,1         ,2         ,"",0.0070,<-4> [SBL] ,0.0930,<0>  ,0.0180,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.1730,<1> (CHB) ,7.0000,<0>  ,
"lksblnut  ","P",06/21/2018 10:28,1,1,1         ,1         ,"",0.0130,<1> (CHB) ,0.0370,<1> (CHB) ,0.0180,<-4> [SBL] ,"",<-4> [SCB] ,0.1360,<0>  ,0.7000,<0>  ,
"lksblnut  ","P",06/21/2018 10:29,1,1,1         ,2         ,"",0.0120,<1> (CHB) ,0.0310,<1> (CHB) ,0.0180,<-4> [SBL] ,"",<-4> [SCB] ,0.1280,<0>  ,0.3000,<0>  ,
"lksblnut  ","P",07/24/2018 9:40,1,1,1         ,1         ,"",0.0130,<0>  ,0.0640,<0>  ,0.0180,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.1850,<1> [GQS] (CHB) ,4.6000,<0>  ,
"lksblnut  ","P",07/24/2018 9:43,1,1,1         ,2         ,"",0.0130,<0>  ,0.0590,<0>  ,0.0180,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.1700,<1> [GQS] (CHB) ,7.3000,<0>  ,
"lksblnut  ","P",08/22/2018 9:55,1,1,1         ,1         ,"",0.0200,<1> (CHB) ,0.2140,<1> (CHB) ,0.0600,<0>  ,0.2300,<1> (CHB) ,0.2900,<1> (CHB) ,4.7000,<0>  ,
"lksblnut  ","P",08/22/2018 9:57,1,1,1         ,2         ,"",0.0190,<1> (CHB) ,0.1930,<1> (CHB) ,0.0540,<0>  ,0.2310,<1> (CHB) ,0.2850,<1> (CHB) ,3.4000,<0>  ,
"lksblnut  ","P",09/25/2018 11:05,1,1,1         ,1         ,"","",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,"",<-2> [GDM] ,3.6000,<0>  ,
"lksblnut  ","P",09/25/2018 11:07,1,1,1         ,2         ,"","",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,"",<-2> [GDM] ,3.2000,<0>  ,
"lksblnut  ","P",10/30/2018 9:00,1,1,1         ,1         ,"","",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,"",<-2> [GDM] ,0.9000,<0>  ,
"lksblnut  ","P",10/30/2018 9:03,1,1,1         ,2         ,"","",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,"",<-2> [GDM] ,8.3000,<0>  ,
