"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"lksblwq  ","P",07/06/2023 10:00,0,1,"",20.8,<0> (CND),0.22,<0> (CND),0.1,<0> (CND),89.0,<0> (CND),8.0,<0> (CND),0.57,<0> (CND),0.51,<3> ,"",<-1> ,"","",7.8,<0> (CND),5,<0> (CND),"",<-2> [SSR],
"lksblwq  ","P",07/06/2023 10:15,0,1,"",21.2,<1> [GSM] (CWD),0.22,<1> [GSM] (CWD),0.1,<1> [GSM] (CWD),92.3,<1> [GSM] (CWD),8.2,<1> [GSM] (CWD),0.62,<1> [GSM] (CWD),0.56,<1> [GCS],"",<-1> ,"","",7.9,<1> [GSM] (CWD),4,<1> [GSM] (CWD),"",<-2> [SSR],
"lksblwq  ","P",07/06/2023 10:30,0,1,"",21.7,<1> [GSM] (CWD),0.21,<1> [GSM] (CWD),0.1,<1> [GSM] (CWD),99.0,<1> [GSM] (CWD),8.7,<1> [GSM] (CWD),0.63,<1> [GSM] (CWD),0.57,<1> [GCS],"",<-1> ,"","",7.9,<1> [GSM] (CWD),4,<1> [GSM] (CWD),"",<-2> [SSR],
"lksblwq  ","P",07/06/2023 10:45,0,1,"",21.5,<1> [GSM] (CWD),0.21,<1> [GSM] (CWD),0.1,<1> [GSM] (CWD),101.6,<1> [GSM] (CWD),9.0,<1> [GSM] (CWD),0.63,<1> [GSM] (CWD),0.57,<1> [GCS],"",<-1> ,"","",8.0,<1> [GSM] (CWD),4,<1> [GSM] (CWD),"",<-2> [SSR],
"lksblwq  ","P",07/06/2023 11:00,0,1,"",21.4,<1> [GSM] (CWD),0.21,<1> [GSM] (CWD),0.1,<1> [GSM] (CWD),102.4,<1> [GSM] (CWD),9.1,<1> [GSM] (CWD),0.63,<1> [GSM] (CWD),0.57,<1> [GCS],"",<-1> ,"","",8.0,<1> [GSM] (CWD),4,<1> [GSM] (CWD),"",<-2> [SSR],
"lksblwq  ","P",07/06/2023 11:15,0,1,"",21.3,<1> [GSM] (CWD),0.21,<1> [GSM] (CWD),0.1,<1> [GSM] (CWD),101.2,<1> [GSM] (CWD),9.0,<1> [GSM] (CWD),0.64,<1> [GSM] (CWD),0.58,<1> [GCS],"",<-1> ,"","",8.0,<1> [GSM] (CWD),4,<1> [GSM] (CWD),"",<-2> [SSR],
"lksblwq  ","P",07/06/2023 11:30,0,1,"",21.1,<1> [GSM] (CWD),0.21,<1> [GSM] (CWD),0.1,<1> [GSM] (CWD),101.8,<1> [GSM] (CWD),9.1,<1> [GSM] (CWD),0.65,<1> [GSM] (CWD),0.59,<1> [GCS],"",<-1> ,"","",8.0,<1> [GSM] (CWD),4,<1> [GSM] (CWD),"",<-2> [SSR],
"lksblwq  ","P",07/06/2023 11:45,0,1,"",21.3,<1> [GSM] (CWD),0.21,<1> [GSM] (CWD),0.1,<1> [GSM] (CWD),102.9,<1> [GSM] (CWD),9.1,<1> [GSM] (CWD),0.65,<1> [GSM] (CWD),0.59,<1> [GCS],"",<-1> ,"","",8.0,<1> [GSM] (CWD),4,<1> [GSM] (CWD),"",<-2> [SSR],
"lksblwq  ","P",07/06/2023 12:00,0,1,"",19.1,<1> [GSM] (CWD),0.2,<1> [GSM] (CWD),0.1,<1> [GSM] (CWD),89.5,<1> [GSM] (CWD),8.3,<1> [GSM] (CWD),0.66,<1> [GSM] (CWD),0.6,<1> [GCS],"",<-1> ,"","",7.7,<1> [GSM] (CWD),4,<1> [GSM] (CWD),"",<-2> [SSR],
"lksblwq  ","P",07/06/2023 12:15,0,1,"",18.9,<1> [GSM] (CWD),0.19,<1> [GSM] (CWD),0.1,<1> [GSM] (CWD),87.9,<1> [GSM] (CWD),8.2,<1> [GSM] (CWD),0.66,<1> [GSM] (CWD),0.6,<1> [GCS],"",<-1> ,"","",7.7,<1> [GSM] (CWD),4,<1> [GSM] (CWD),"",<-2> [SSR],
