"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksolnut  ","P",05/08/2012 10:35,1,1,1         ,1         ,"",0.0040,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.1180,<0>  ,6.1400,<0>  ,
"lksolnut  ","P",05/08/2012 10:36,1,1,1         ,2         ,"",0.0040,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.1190,<0>  ,6.6700,<0>  ,
"lksolnut  ","P",06/13/2012 14:23,1,1,1         ,1         ,"",0.0070,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.2200,<1> [GQS] (CSM) ,4.3800,<0>  ,
"lksolnut  ","P",06/13/2012 14:24,1,1,1         ,2         ,"",0.0070,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.2170,<1> [GQS] (CSM) ,4.3800,<0>  ,
"lksolnut  ","P",06/27/2012 15:22,1,1,1         ,1         ,"{CSM}",0.0020,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.0630,<1> [GQS] (CSM) ,2.2700,<0>  ,
"lksolnut  ","P",06/27/2012 15:23,1,1,1         ,2         ,"{CSM}",0.0010,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.0630,<1> [GQS] (CSM) ,2.5600,<0>  ,
"lksolnut  ","P",07/10/2012 10:14,1,1,1         ,1         ,"",0.0080,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.1800,<0>  ,3.1700,<0>  ,
"lksolnut  ","P",07/10/2012 10:15,1,1,1         ,2         ,"",0.0080,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.1780,<0>  ,3.0400,<0>  ,
"lksolnut  ","P",08/06/2012 11:06,1,1,1         ,1         ,"",0.0060,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.1920,<0>  ,5.5700,<0>  ,
"lksolnut  ","P",08/06/2012 11:07,1,1,1         ,2         ,"",0.0050,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.1840,<0>  ,5.0300,<0>  ,
"lksolnut  ","P",09/04/2012 13:30,1,1,1         ,1         ,"",0.0040,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.0006,<-4> [SBL] ,7.7500,<0>  ,
"lksolnut  ","P",09/04/2012 13:31,1,1,1         ,2         ,"",0.0040,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.0006,<-4> [SBL] ,6.9600,<0>  ,
"lksolnut  ","P",10/02/2012 10:45,1,1,1         ,1         ,"",0.0210,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.0006,<-4> [SBL] ,3.9700,<0>  ,
"lksolnut  ","P",10/02/2012 10:46,1,1,1         ,2         ,"",0.0260,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.0006,<-4> [SBL] ,3.9700,<0>  ,
"lksolnut  ","P",11/07/2012 11:56,1,1,1         ,1         ,"",0.0120,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.0006,<-4> [SBL] ,3.5900,<0>  ,
"lksolnut  ","P",11/07/2012 11:57,1,1,1         ,2         ,"",0.0370,<1> [GQS] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,0.0006,<-4> [SBL] ,3.1000,<0>  ,
