"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksponut  ","P",07/23/2014 9:30,1,1,1         ,1         ,"",0.0220,<1> [SRD] ,0.1120,<1> [GQS] (CSM) ,0.0050,<0>  ,0.0140,<0>  ,0.0190,<0>  ,3.8000,<0>  ,
"lksponut  ","P",07/23/2014 9:34,1,1,1         ,2         ,"",0.0460,<1> [SRD] ,0.1560,<1> [GQS] (CSM) ,0.0060,<0>  ,0.0320,<0>  ,0.0380,<0>  ,3.6000,<0>  ,
"lksponut  ","P",08/25/2014 11:19,1,1,1         ,1         ,"",0.0170,<0>  ,0.1420,<1> [GQS] (CSM) ,0.0050,<0>  ,0.0460,<0>  ,0.0510,<0>  ,3.9000,<0>  ,
"lksponut  ","P",08/25/2014 11:22,1,1,1         ,2         ,"",0.0210,<0>  ,0.1640,<1> [GQS] (CSM) ,0.0050,<0>  ,0.0430,<0>  ,0.0480,<0>  ,3.4000,<0>  ,
"lksponut  ","P",09/16/2014 10:14,1,1,1         ,1         ,"",0.0200,<0>  ,0.2010,<0>  ,0.0020,<0>  ,0.0310,<0>  ,0.0330,<0>  ,4.2000,<0>  ,
"lksponut  ","P",09/16/2014 10:16,1,1,1         ,2         ,"",0.0150,<0>  ,0.1760,<0>  ,0.0014,<-4> [SBL] ,"",<-4> [SCB] ,0.0270,<0>  ,2.5000,<0>  ,
"lksponut  ","P",10/16/2014 9:20,1,1,1         ,1         ,"",0.0200,<0>  ,0.0540,<0>  ,0.0130,<0>  ,0.0250,<0>  ,0.0380,<0>  ,1.6000,<0>  ,
"lksponut  ","P",10/16/2014 9:22,1,1,1         ,2         ,"",0.0180,<0>  ,0.0480,<0>  ,0.0120,<0>  ,0.0210,<0>  ,0.0330,<0>  ,1.8000,<0>  ,
"lksponut  ","P",11/13/2014 10:20,1,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"lksponut  ","P",11/13/2014 10:20,1,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
