"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"lkspowq  ","P",05/01/2024 9:00,0,1,"",6.7,<0> [GSM] (CWD),0.12,<0> [GSM] (CWD),0.1,<0> [GSM] (CWD),95.1,<0> [GSM] (CWD),11.6,<0> [GSM] (CWD),0.44,<1> [GSM] (CWD),0.49,<1> [GCS],"",<-1> ,"","",7.7,<0> [GSM] (CWD),135,<0> [GSM] (CWD),"",<-1> ,
"lkspowq  ","P",05/01/2024 9:15,0,1,"",6.8,<0> [GSM] (CWD),0.12,<0> [GSM] (CWD),0.1,<0> [GSM] (CWD),94.5,<0> [GSM] (CWD),11.5,<0> [GSM] (CWD),0.43,<1> [GSM] (CWD),"",<-2> [GCM],"",<-1> ,"","",7.6,<0> [GSM] (CWD),137,<0> [GSM] (CWD),"",<-1> ,
"lkspowq  ","P",05/01/2024 9:30,0,1,"",6.8,<0> [GSM] (CWD),0.12,<0> [GSM] (CWD),0.1,<0> [GSM] (CWD),94.8,<0> [GSM] (CWD),11.6,<0> [GSM] (CWD),0.45,<1> [GSM] (CWD),"",<-2> [GCM],"",<-1> ,"","",7.6,<0> [GSM] (CWD),135,<0> [GSM] (CWD),"",<-1> ,
"lkspowq  ","P",05/01/2024 9:45,0,1,"",6.8,<0> [GSM] (CWD),0.12,<0> [GSM] (CWD),0.1,<0> [GSM] (CWD),95.0,<0> [GSM] (CWD),11.6,<0> [GSM] (CWD),0.49,<1> [GSM] (CWD),"",<-2> [GCM],"",<-1> ,"","",7.6,<0> [GSM] (CWD),131,<0> [GSM] (CWD),"",<-1> ,
"lkspowq  ","P",05/01/2024 10:00,0,1,"",6.8,<0> [GSM] (CWD),0.12,<0> [GSM] (CWD),0.1,<0> [GSM] (CWD),95.2,<0> [GSM] (CWD),11.6,<0> [GSM] (CWD),0.49,<1> [GSM] (CWD),"",<-3> [GCR],"",<-1> ,"","",7.5,<0> [GSM] (CWD),125,<0> [GSM] (CWD),"",<-1> ,
"lkspowq  ","P",05/01/2024 10:15,0,1,"",6.9,<0> [GSM] (CWD),0.12,<0> [GSM] (CWD),0.1,<0> [GSM] (CWD),96.0,<0> [GSM] (CWD),11.7,<0> [GSM] (CWD),0.5,<1> [GSM] (CWD),0.54,<1> [GCS],"",<-1> ,"","",7.6,<0> [GSM] (CWD),122,<0> [GSM] (CWD),"",<-1> ,
"lkspowq  ","P",05/01/2024 10:30,0,1,"",7.0,<0> [GSM] (CWD),0.12,<0> [GSM] (CWD),0.1,<0> [GSM] (CWD),95.7,<0> [GSM] (CWD),11.6,<0> [GSM] (CWD),0.51,<1> [GSM] (CWD),0.54,<1> [GCS],"",<-1> ,"","",7.5,<0> [GSM] (CWD),121,<0> [GSM] (CWD),"",<-1> ,
"lkspowq  ","P",05/01/2024 10:45,0,1,"",6.9,<0> [GSM] (CWD),0.12,<0> [GSM] (CWD),0.1,<0> [GSM] (CWD),95.9,<0> [GSM] (CWD),11.7,<0> [GSM] (CWD),0.51,<1> [GSM] (CWD),0.54,<1> [GCS],"",<-1> ,"","",7.5,<0> [GSM] (CWD),121,<0> [GSM] (CWD),"",<-1> ,
"lkspowq  ","P",05/01/2024 11:00,0,1,"",6.9,<0> [GSM] (CWD),0.12,<0> [GSM] (CWD),0.1,<0> [GSM] (CWD),96.1,<0> [GSM] (CWD),11.7,<0> [GSM] (CWD),0.48,<1> [GSM] (CWD),0.51,<1> [GCS],"",<-1> ,"","",7.4,<0> [GSM] (CWD),118,<0> [GSM] (CWD),"",<-1> ,
"lkspowq  ","P",05/01/2024 11:15,0,1,"",7.0,<0> [GSM] (CWD),0.12,<0> [GSM] (CWD),0.1,<0> [GSM] (CWD),96.0,<0> [GSM] (CWD),11.7,<0> [GSM] (CWD),0.5,<1> [GSM] (CWD),0.53,<1> [GCS],"",<-1> ,"","",7.5,<0> [GSM] (CWD),125,<0> [GSM] (CWD),"",<-1> ,
