"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"owcbrnut  ","P",03/16/2009 8:25,1,1,1         ,1         ,"",0.0149,<0>  ,0.0320,<0>  ,0.0064,<0>  ,3.1390,<0>  ,3.1450,<0>  ,0.3360,<-4> [SBL] ,
"owcbrnut  ","P",03/16/2009 8:26,1,1,1         ,2         ,"",0.0157,<0>  ,0.0260,<0>  ,0.0064,<0>  ,3.1990,<0>  ,3.2050,<0>  ,0.6282,<0>  ,
"owcbrnut  ","P",04/05/2009 9:50,1,1,1         ,1         ,"",0.0008,<0>  ,0.0380,<0>  ,0.0116,<0>  ,2.8000,<0>  ,2.8120,<0>  ,1.1581,<0>  ,
"owcbrnut  ","P",04/05/2009 9:51,1,1,1         ,2         ,"",0.0009,<0>  ,0.0310,<0>  ,0.0116,<0>  ,2.7270,<0>  ,2.7390,<0>  ,1.3104,<0>  ,
"owcbrnut  ","P",04/26/2009 8:40,1,1,1         ,1         ,"",0.0080,<0>  ,0.0520,<0>  ,0.0295,<0>  ,2.2560,<0>  ,2.2860,<0>  ,4.3229,<0>  ,
"owcbrnut  ","P",04/26/2009 8:41,1,1,1         ,2         ,"",0.0009,<0>  ,0.0430,<0>  ,0.0296,<0>  ,2.2500,<0>  ,2.2800,<0>  ,5.3400,<0>  ,
"owcbrnut  ","P",05/17/2009 8:10,1,1,1         ,1         ,"",0.0014,<0>  ,0.0670,<0>  ,0.0284,<0>  ,2.7340,<0>  ,2.7620,<0>  ,5.3400,<0>  ,
"owcbrnut  ","P",05/17/2009 8:11,1,1,1         ,2         ,"",0.0020,<0>  ,0.0870,<0>  ,0.0283,<0>  ,2.7380,<0>  ,2.7660,<0>  ,2.3363,<0>  ,
"owcbrnut  ","P",06/07/2009 9:10,1,1,1         ,1         ,"",0.0100,<0>  ,0.0740,<0>  ,0.0248,<0>  ,2.3870,<0>  ,2.4120,<0>  ,1.5706,<0>  ,
"owcbrnut  ","P",06/07/2009 9:11,1,1,1         ,2         ,"",0.0157,<0>  ,0.0660,<0>  ,0.0252,<0>  ,2.4070,<0>  ,2.4320,<0>  ,1.0741,<0>  ,
