"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"owcdrnut  ","P",03/27/2019 10:09,1,1,1         ,1         ,"",0.0010,<0>  ,0.0130,<0>  ,0.0170,<0>  ,1.8480,<0>  ,1.8650,<0>  ,0.2000,<0>  ,
"owcdrnut  ","P",03/27/2019 10:17,1,1,1         ,2         ,"",0.0060,<0>  ,0.0260,<0>  ,0.0180,<0>  ,1.8130,<0>  ,1.8310,<0>  ,0.4000,<0>  ,
"owcdrnut  ","P",04/17/2019 10:03,1,1,1         ,1         ,"",0.0090,<0>  ,0.0610,<0>  ,0.0180,<0>  ,2.6250,<0>  ,2.6430,<0>  ,1.4200,<0>  ,
"owcdrnut  ","P",04/17/2019 10:12,1,1,1         ,2         ,"",0.0070,<0>  ,0.0320,<0>  ,0.0180,<0>  ,2.6360,<0>  ,2.6540,<0>  ,1.3000,<0>  ,
"owcdrnut  ","P",05/15/2019 8:55,1,1,1         ,1         ,"",0.0170,<0>  ,0.0520,<0>  ,0.0170,<0>  ,2.9120,<0>  ,2.9290,<0>  ,4.6100,<0>  ,
"owcdrnut  ","P",05/15/2019 9:05,1,1,1         ,2         ,"",0.0130,<0>  ,0.0470,<0>  ,0.0180,<0>  ,2.8870,<0>  ,2.9050,<0>  ,5.0300,<0>  ,
"owcdrnut  ","P",06/11/2019 8:28,1,1,1         ,1         ,"",0.0490,<0>  ,0.2120,<0>  ,0.0550,<0>  ,3.8320,<0>  ,3.8870,<0>  ,3.1700,<0>  ,
"owcdrnut  ","P",06/11/2019 8:35,1,1,1         ,2         ,"",0.0550,<0>  ,0.1870,<0>  ,0.0560,<0>  ,3.8730,<0>  ,3.9290,<0>  ,2.2800,<0>  ,
"owcdrnut  ","P",07/09/2019 9:21,1,1,1         ,1         ,"",0.0660,<0>  ,0.0700,<0>  ,0.0380,<0>  ,3.1340,<0>  ,3.1720,<0>  ,6.1800,<0>  ,
"owcdrnut  ","P",07/09/2019 9:24,1,1,1         ,2         ,"",0.0680,<0>  ,0.0910,<0>  ,0.0420,<0>  ,3.0840,<0>  ,3.1260,<0>  ,4.2700,<0>  ,
"owcdrnut  ","P",08/07/2019 9:35,1,1,1         ,2         ,"",0.1430,<0>  ,0.0390,<0>  ,0.0330,<0>  ,2.6200,<0>  ,2.6530,<0>  ,4.2500,<0>  ,
"owcdrnut  ","P",08/07/2019 9:40,1,1,1         ,1         ,"",0.1320,<0>  ,0.0320,<0>  ,0.0320,<0>  ,2.5370,<0>  ,2.5690,<0>  ,4.0000,<0>  ,
"owcdrnut  ","P",09/03/2019 7:47,1,1,1         ,1         ,"",0.0070,<0>  ,0.0480,<0>  ,0.0180,<0>  ,0.5400,<0>  ,0.5580,<0>  ,18.5000,<0>  ,
"owcdrnut  ","P",09/03/2019 7:52,1,1,1         ,2         ,"",0.0080,<0>  ,0.0480,<0>  ,0.0180,<0>  ,0.5450,<0>  ,0.5630,<0>  ,13.2800,<0>  ,
"owcdrnut  ","P",10/02/2019 7:43,1,1,1         ,1         ,"",0.0250,<0>  ,0.0330,<0>  ,0.0020,<0>  ,0.0310,<0>  ,0.0330,<0>  ,7.2400,<0>  ,
"owcdrnut  ","P",10/02/2019 7:49,1,1,1         ,2         ,"",0.0180,<0>  ,0.0300,<0>  ,0.0050,<0>  ,0.0180,<0>  ,0.0230,<0>  ,6.4900,<0>  ,
"owcdrnut  ","P",10/29/2019 9:00,1,1,1         ,1         ,"",0.0090,<0>  ,0.0660,<0>  ,0.0020,<0>  ,0.0430,<0>  ,0.0450,<0>  ,14.4300,<0>  ,
"owcdrnut  ","P",10/29/2019 9:07,1,1,1         ,2         ,"",0.0090,<0>  ,0.0690,<0>  ,0.0030,<0>  ,0.0390,<0>  ,0.0420,<0>  ,13.4200,<0>  ,
"owcdrnut  ","P",11/12/2019 10:23,1,1,1         ,1         ,"",0.0240,<0>  ,0.0100,<0>  ,0.0650,<0>  ,2.3900,<0>  ,2.4550,<0>  ,0.7400,<0>  ,
"owcdrnut  ","P",11/12/2019 10:33,1,1,1         ,2         ,"",0.0240,<0>  ,0.0090,<0>  ,0.0670,<0>  ,2.3630,<0>  ,2.4300,<0>  ,0.6400,<0>  ,
"owcdrnut  ","P",12/02/2019 9:20,1,1,1         ,1         ,"",0.0200,<0>  ,0.0850,<0>  ,0.0090,<0>  ,0.6880,<0>  ,0.6970,<0>  ,1.7900,<0>  ,
"owcdrnut  ","P",12/02/2019 9:29,1,1,1         ,2         ,"",0.0170,<0>  ,0.0890,<0>  ,0.0090,<0>  ,0.6960,<0>  ,0.7050,<0>  ,1.9100,<0>  ,
