"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"owcolnut  ","P",01/23/2023 10:23,0,1,1         ,1         ,"",0.0220,<1> [SRD] ,0.0750,<0>  ,0.0140,<0>  ,4.4890,<0>  ,4.5030,<0>  ,3.1100,<0>  ,
"owcolnut  ","P",01/23/2023 10:24,0,1,1         ,2         ,"",0.0380,<1> [SRD] ,0.0950,<0>  ,0.0200,<0>  ,4.4730,<0>  ,4.4930,<0>  ,2.9700,<0>  ,
"owcolnut  ","P",03/07/2023 10:18,0,1,1         ,1         ,"",0.0160,<0>  ,0.1040,<0>  ,0.0210,<0>  ,3.1220,<0>  ,3.1430,<0>  ,7.7400,<0>  ,
"owcolnut  ","P",03/07/2023 10:19,0,1,1         ,2         ,"",0.0180,<0>  ,0.0990,<0>  ,0.0200,<0>  ,3.1860,<0>  ,3.2060,<0>  ,8.5300,<0>  ,
"owcolnut  ","P",04/11/2023 9:09,0,1,1         ,1         ,"",0.0060,<-4> [SBL] ,0.0280,<0>  ,0.0400,<0>  ,1.1780,<0>  ,1.2180,<0>  ,61.7300,<0>  ,
"owcolnut  ","P",04/11/2023 9:10,0,1,1         ,2         ,"",0.0060,<-4> [SBL] ,0.0240,<0>  ,0.0400,<0>  ,1.1870,<0>  ,1.2270,<0>  ,60.0000,<0>  ,
"owcolnut  ","P",05/09/2023 8:56,0,1,1         ,1         ,"",0.0060,<0>  ,0.0800,<0>  ,0.0640,<0>  ,2.3810,<0>  ,2.4450,<0>  ,67.7600,<0>  ,
"owcolnut  ","P",05/09/2023 8:57,0,1,1         ,2         ,"",0.0070,<0>  ,0.0860,<0>  ,0.0630,<0>  ,2.3890,<0>  ,2.4520,<0>  ,62.7800,<0>  ,
"owcolnut  ","P",06/06/2023 10:36,0,1,1         ,1         ,"",0.0060,<-4> [SBL] ,0.0110,<-4> [SBL] ,0.0020,<0>  ,0.0020,<0>  ,0.0160,<-4> [SBL] ,88.5200,<0>  ,
"owcolnut  ","P",06/06/2023 10:37,0,1,1         ,2         ,"",0.0060,<-4> [SBL] ,0.0110,<-4> [SBL] ,0.0020,<0>  ,0.0050,<0>  ,0.0160,<-4> [SBL] ,83.3300,<0>  ,
"owcolnut  ","P",07/11/2023 11:38,0,1,1         ,1         ,"",0.0190,<0>  ,0.0110,<-4> [SBL] ,0.0030,<0>  ,0.0360,<0>  ,0.0390,<0>  ,72.1500,<0>  ,
"owcolnut  ","P",07/11/2023 11:43,0,1,1         ,2         ,"",0.0210,<0>  ,0.0110,<-4> [SBL] ,0.0020,<0>  ,0.0250,<0>  ,0.0270,<0>  ,74.2500,<0>  ,
"owcolnut  ","P",08/15/2023 9:34,0,1,1         ,1         ,"",0.0390,<0>  ,0.3020,<0>  ,0.0750,<0>  ,1.3890,<0>  ,1.4640,<0>  ,17.3700,<0>  ,
"owcolnut  ","P",08/15/2023 9:37,0,1,1         ,2         ,"",0.0280,<0>  ,0.2970,<0>  ,0.0680,<0>  ,1.2780,<0>  ,1.3460,<0>  ,16.9100,<0>  ,
"owcolnut  ","P",09/12/2023 9:55,0,1,1         ,1         ,"",0.0090,<0>  ,0.0870,<0>  ,0.0180,<0>  ,0.2480,<0>  ,0.2660,<0>  ,52.8400,<0>  ,
"owcolnut  ","P",09/12/2023 9:56,0,1,1         ,2         ,"",0.0070,<0>  ,0.0860,<0>  ,0.0170,<0>  ,0.2340,<0>  ,0.2510,<0>  ,54.1200,<0>  ,
"owcolnut  ","P",10/11/2023 8:55,0,1,1         ,1         ,"",0.0020,<0>  ,0.0110,<-4> [SBL] ,0.0010,<0>  ,0.0280,<0>  ,0.0290,<0>  ,36.5200,<0>  ,
"owcolnut  ","P",10/11/2023 8:56,0,1,1         ,2         ,"",0.0030,<0>  ,0.0110,<-4> [SBL] ,0.0020,<0>  ,0.0280,<0>  ,0.0300,<0>  ,35.2400,<0>  ,
"owcolnut  ","P",11/07/2023 9:29,0,1,1         ,1         ,"",0.0200,<0>  ,0.3760,<0>  ,0.0230,<0>  ,3.1120,<0>  ,3.1350,<0>  ,6.9000,<0>  ,
"owcolnut  ","P",11/07/2023 9:30,0,1,1         ,2         ,"",0.0190,<0>  ,0.3720,<0>  ,0.0230,<0>  ,3.3820,<0>  ,3.4050,<0>  ,6.7200,<0>  ,
"owcolnut  ","P",12/12/2023 10:52,0,1,1         ,1         ,"",0.0390,<0>  ,0.0620,<0>  ,0.0110,<0>  ,4.0000,<0>  ,4.0110,<0>  ,17.5000,<0>  ,
"owcolnut  ","P",12/12/2023 10:53,0,1,1         ,2         ,"",0.0410,<0>  ,0.0680,<0>  ,0.0120,<0>  ,3.9910,<0>  ,4.0030,<0>  ,13.7700,<0>  ,
