"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"owcrrnut  ","S",07/11/2023 11:10,0,1,1         ,1         ,"",0.0060,<-4> [SBL] ,0.0110,<-4> [SBL] ,0.0330,<0>  ,0.8300,<0>  ,0.8630,<0>  ,88.3700,<0>  ,
"owcrrnut  ","S",07/11/2023 11:11,0,1,1         ,2         ,"",0.0060,<-4> [SBL] ,0.0110,<-4> [SBL] ,0.0280,<0>  ,0.7900,<0>  ,0.8180,<0>  ,90.0600,<0>  ,
"owcrrnut  ","S",08/15/2023 10:07,0,1,1         ,1         ,"",0.0370,<0>  ,0.1630,<0>  ,0.0780,<0>  ,1.7260,<0>  ,1.8040,<0>  ,23.2100,<0>  ,
"owcrrnut  ","S",08/15/2023 10:08,0,1,1         ,2         ,"",0.0360,<0>  ,0.1630,<0>  ,0.0910,<0>  ,1.6670,<0>  ,1.7580,<0>  ,26.9400,<0>  ,
"owcrrnut  ","S",09/12/2023 9:19,0,1,1         ,1         ,"",0.0190,<0>  ,0.0810,<0>  ,0.0160,<0>  ,0.5030,<0>  ,0.5190,<0>  ,31.5000,<0>  ,
"owcrrnut  ","S",09/12/2023 9:20,0,1,1         ,2         ,"",0.0160,<0>  ,0.0780,<0>  ,0.0150,<0>  ,0.5100,<0>  ,0.5250,<0>  ,31.7800,<0>  ,
"owcrrnut  ","S",10/11/2023 8:05,0,1,1         ,1         ,"",0.0060,<0>  ,0.1010,<0>  ,0.0040,<0>  ,0.0520,<0>  ,0.0560,<0>  ,15.0600,<0>  ,
"owcrrnut  ","S",10/11/2023 8:06,0,1,1         ,2         ,"",0.0050,<0>  ,0.1030,<0>  ,0.0040,<0>  ,0.0500,<0>  ,0.0540,<0>  ,15.4600,<0>  ,
"owcrrnut  ","S",11/07/2023 11:07,0,1,1         ,1         ,"",0.0210,<0>  ,0.1390,<0>  ,0.0410,<0>  ,3.1290,<0>  ,3.1700,<0>  ,2.6800,<0>  ,
"owcrrnut  ","S",11/07/2023 11:08,0,1,1         ,2         ,"",0.0210,<0>  ,0.1400,<0>  ,0.0400,<0>  ,3.2660,<0>  ,3.3060,<0>  ,2.4000,<0>  ,
"owcrrnut  ","S",12/12/2023 9:43,0,1,1         ,1         ,"",0.0310,<0>  ,0.0540,<0>  ,0.0100,<0>  ,3.9680,<0>  ,3.9780,<0>  ,3.5300,<0>  ,
"owcrrnut  ","S",12/12/2023 9:44,0,1,1         ,2         ,"",0.0310,<0>  ,0.0500,<0>  ,0.0100,<0>  ,3.9710,<0>  ,3.9810,<0>  ,3.3600,<0>  ,
