"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"owcrrwq  ","S",06/07/2023 17:00,0,1,"",20.9,<0> (CND),0.58,<0> (CND),0.3,<0> (CND),83.1,<1> (CND),7.4,<1> (CND),1.01,<1> [GSM] (CWD),1.05,<1> [GCS],"",<-1> ,"","",7.4,<0> (CND),40,<0> (CND),"",<-1> ,
"owcrrwq  ","S",06/07/2023 17:15,0,1,"",20.9,<0> (CWD),0.58,<0> (CWD),0.3,<0> (CWD),101.1,<0> (CWD),9.0,<0> (CWD),1.01,<1> [GSM] (CWD),1.05,<1> [GCS],"",<-1> ,"","",7.5,<0> (CWD),41,<0> (CWD),"",<-1> ,
"owcrrwq  ","S",06/07/2023 17:30,0,1,"",21.0,<0> (CWD),0.58,<0> (CWD),0.3,<0> (CWD),96.0,<0> (CWD),8.6,<0> (CWD),1.01,<1> [GSM] (CWD),1.05,<1> [GCS],"",<-1> ,"","",7.5,<0> (CWD),42,<0> (CWD),"",<-1> ,
"owcrrwq  ","S",06/07/2023 17:45,0,1,"",21.0,<0> (CWD),0.58,<0> (CWD),0.3,<0> (CWD),104.1,<0> (CWD),9.3,<0> (CWD),1.01,<1> [GSM] (CWD),1.05,<1> [GCS],"",<-1> ,"","",7.5,<0> (CWD),42,<0> (CWD),"",<-1> ,
"owcrrwq  ","S",06/07/2023 18:00,0,1,"",21.1,<0> (CWD),0.58,<0> (CWD),0.3,<0> (CWD),101.2,<0> (CWD),9.0,<0> (CWD),1.01,<1> [GSM] (CWD),1.05,<1> [GCS],"",<-1> ,"","",7.5,<0> (CWD),41,<0> (CWD),"",<-1> ,
"owcrrwq  ","S",06/07/2023 18:15,0,1,"",21.0,<0> (CWD),0.58,<0> (CWD),0.3,<0> (CWD),102.7,<0> (CWD),9.1,<0> (CWD),1.01,<1> [GSM] (CWD),1.05,<1> [GCS],"",<-1> ,"","",7.5,<0> (CWD),41,<0> (CWD),"",<-1> ,
"owcrrwq  ","S",06/07/2023 18:30,0,1,"",21.1,<0> (CWD),0.58,<0> (CWD),0.3,<0> (CWD),96.2,<0> (CWD),8.5,<0> (CWD),1.01,<1> [GSM] (CWD),1.05,<1> [GCS],"",<-1> ,"","",7.5,<0> (CWD),40,<0> (CWD),"",<-1> ,
"owcrrwq  ","S",06/07/2023 18:45,0,1,"",21.2,<0> (CWD),0.58,<0> (CWD),0.3,<0> (CWD),98.6,<0> (CWD),8.7,<0> (CWD),1.01,<1> [GSM] (CWD),1.05,<1> [GCS],"",<-1> ,"","",7.5,<0> (CWD),39,<0> (CWD),"",<-1> ,
"owcrrwq  ","S",06/07/2023 19:00,0,1,"",21.2,<0> (CWD),0.58,<0> (CWD),0.3,<0> (CWD),99.0,<0> (CWD),8.8,<0> (CWD),1.01,<1> [GSM] (CWD),1.05,<1> [GCS],"",<-1> ,"","",7.5,<0> (CWD),38,<0> (CWD),"",<-1> ,
"owcrrwq  ","S",06/07/2023 19:15,0,1,"",21.2,<0> (CWD),0.58,<0> (CWD),0.3,<0> (CWD),99.1,<0> (CWD),8.8,<0> (CWD),1.01,<1> [GSM] (CWD),1.05,<1> [GCS],"",<-1> ,"","",7.5,<0> (CWD),40,<0> (CWD),"",<-1> ,
