"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"owcsunut  ","P",03/12/2002 9:50,1,1,1         ,1         ,"",0.0048,<4>  ,0.0530,<4>  ,0.0085,<4>  ,4.6120,<4>  C                   ,4.6200,<4>  ,1.6700,<4>  ,
"owcsunut  ","P",03/12/2002 9:50,1,1,1         ,2         ,"",0.0059,<4>  ,0.0420,<4>  ,0.0092,<4>  ,4.6010,<4>  C                   ,4.6100,<4>  ,2.0000,<4>  ,
"owcsunut  ","P",04/02/2002 9:40,1,1,1         ,1         ,"",0.0146,<4>  ,0.0930,<4>  ,0.0131,<4>  ,6.5470,<4>  C                   ,6.5600,<4>  ,2.6700,<4>  ,
"owcsunut  ","P",04/02/2002 9:40,1,1,1         ,2         ,"",0.0143,<4>  ,0.0750,<4>  ,0.0133,<4>  ,7.0520,<4>  C                   ,7.0650,<4>  ,3.3400,<4>  ,
"owcsunut  ","P",04/23/2002 8:10,1,1,1         ,1         ,"",0.0179,<4>  ,0.0740,<4>  ,0.0148,<4>  ,3.7170,<4>  C                   ,3.7320,<4>  ,2.2900,<4>  ,
"owcsunut  ","P",04/23/2002 8:10,1,1,1         ,2         ,"",0.0172,<4>  ,0.0750,<4>  ,0.0162,<4>  ,3.7910,<4>  C                   ,3.8070,<4>  ,2.3400,<4>  ,
"owcsunut  ","P",05/07/2002 8:10,1,1,1         ,1         ,"",0.0091,<4>  ,0.1190,<4>  ,0.0273,<4>  ,3.3460,<4>  C                   ,3.3730,<4>  ,4.2700,<4>  ,
"owcsunut  ","P",05/07/2002 8:10,1,1,1         ,2         ,"",0.0071,<4>  ,0.1150,<4>  ,0.0291,<4>  ,3.4000,<4>  C                   ,3.4290,<4>  ,4.8100,<4>  ,
"owcsunut  ","P",05/20/2002 13:20,1,1,1         ,1         ,"",0.0100,<4>  ,0.2650,<4>  ,0.0149,<4>  ,4.8100,<4>  C                   ,4.8250,<4>  ,3.0500,<4>  ,
"owcsunut  ","P",05/20/2002 13:20,1,1,1         ,2         ,"",0.0097,<4>  ,0.2280,<4>  ,0.0150,<4>  ,4.7790,<4>  C                   ,4.7940,<4>  ,4.2000,<4>  ,
