"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"owcwmnut  ","P",04/02/2013 9:01,1,1,1         ,1         ,"",0.0053,<0>  ,0.0790,<0>  ,0.0160,<0>  ,2.2200,<0>  ,2.2360,<0>  ,4.9800,<0>  ,
"owcwmnut  ","P",04/02/2013 9:02,1,1,1         ,2         ,"",0.0057,<0>  ,0.0780,<0>  ,0.0170,<0>  ,2.1690,<0>  ,2.1860,<0>  ,4.6300,<0>  ,
"owcwmnut  ","P",04/09/2013 4:00,1,1,2         ,1         ,"",0.0002,<-4> [SBL] ,0.0990,<0>  ,0.0280,<0>  ,1.4440,<0>  ,1.4460,<0>  ,16.0200,<0>  ,
"owcwmnut  ","P",04/09/2013 6:00,1,1,2         ,1         ,"",0.0005,<0>  ,0.1040,<0>  ,0.0260,<0>  ,1.4400,<0>  ,1.4420,<0>  ,13.3500,<0>  ,
"owcwmnut  ","P",04/09/2013 8:00,1,1,2         ,1         ,"",0.0027,<0>  ,0.1070,<0>  ,0.0270,<0>  ,1.4120,<0>  ,1.4130,<0>  ,21.3600,<0>  ,
"owcwmnut  ","P",04/09/2013 10:00,1,1,2         ,1         ,"",0.0016,<0>  ,0.1040,<0>  ,0.0250,<0>  ,1.3870,<0>  ,1.3880,<0>  ,20.0200,<0>  ,
"owcwmnut  ","P",04/09/2013 12:00,1,1,2         ,1         ,"",0.0018,<0>  ,0.0930,<0>  ,0.0260,<0>  ,1.4020,<0>  ,1.4040,<0>  ,22.7000,<0>  ,
"owcwmnut  ","P",04/09/2013 14:00,1,1,2         ,1         ,"",0.0018,<0>  ,0.0880,<0>  ,0.0250,<0>  ,1.3930,<0>  ,1.3940,<0>  ,21.3600,<0>  ,
"owcwmnut  ","P",04/09/2013 16:00,1,1,2         ,1         ,"",0.0018,<0>  ,0.0740,<0>  ,0.0240,<0>  ,1.4020,<0>  ,1.4030,<0>  ,25.3600,<0>  ,
"owcwmnut  ","P",04/09/2013 18:00,1,1,2         ,1         ,"",0.0012,<0>  ,0.0830,<0>  ,0.0260,<0>  ,1.2340,<0>  ,1.2350,<0>  ,17.3600,<0>  ,
"owcwmnut  ","P",04/09/2013 20:00,1,1,2         ,1         ,"",0.0017,<0>  ,0.0830,<0>  ,0.0240,<0>  ,1.2950,<0>  ,1.2960,<0>  ,20.0200,<0>  ,
"owcwmnut  ","P",04/09/2013 22:00,1,1,2         ,1         ,"",0.0026,<0>  ,0.0890,<0>  ,0.0230,<0>  ,1.2850,<0>  ,1.2860,<0>  ,24.0300,<0>  ,
"owcwmnut  ","P",04/10/2013 0:00,1,1,2         ,1         ,"",0.0019,<0>  ,0.0760,<0>  ,0.0240,<0>  ,1.2830,<0>  ,1.2840,<0>  ,33.3800,<0>  ,
"owcwmnut  ","P",04/10/2013 2:00,1,1,2         ,1         ,"",0.0038,<0>  ,0.0990,<0>  ,0.0240,<0>  ,1.2430,<0>  ,1.2440,<0>  ,25.3600,<0>  ,
"owcwmnut  ","P",04/10/2013 4:00,1,1,2         ,1         ,"",0.0029,<0>  ,0.0930,<0>  ,0.0230,<0>  ,1.2500,<0>  ,1.2510,<0>  ,18.6900,<0>  ,
"owcwmnut  ","P",04/10/2013 6:00,1,1,2         ,1         ,"",0.0040,<0>  ,0.1140,<0>  ,0.0230,<0>  ,1.2570,<0>  ,1.2580,<0>  ,24.0300,<0>  ,
"owcwmnut  ","P",05/01/2013 9:25,1,1,1         ,1         ,"",0.0033,<0>  ,0.1030,<0>  ,0.0240,<0>  ,1.3390,<0>  ,1.3630,<0>  ,9.0800,<0>  ,
"owcwmnut  ","P",05/01/2013 9:26,1,1,1         ,2         ,"",0.0029,<0>  ,0.0980,<0>  ,0.0250,<0>  ,1.3210,<0>  ,1.3460,<0>  ,8.0100,<0>  ,
"owcwmnut  ","P",05/06/2013 4:00,1,1,2         ,1         ,"",0.0050,<0>  ,0.2110,<0>  ,0.0420,<0>  ,0.9200,<0>  ,0.9210,<0>  ,17.8000,<0>  ,
"owcwmnut  ","P",05/06/2013 6:00,1,1,2         ,1         ,"",0.0057,<0>  ,0.2220,<0>  ,0.0440,<0>  ,0.8450,<0>  ,0.8460,<0>  ,21.3600,<0>  ,
"owcwmnut  ","P",05/06/2013 8:00,1,1,2         ,1         ,"",0.0051,<0>  ,0.1950,<0>  ,0.0390,<0>  ,0.7120,<0>  ,0.7130,<0>  ,21.3600,<0>  ,
"owcwmnut  ","P",05/06/2013 10:00,1,1,2         ,1         ,"",0.0040,<0>  ,0.1510,<0>  ,0.0350,<0>  ,0.6870,<0>  ,0.6880,<0>  ,35.6000,<0>  ,
"owcwmnut  ","P",05/06/2013 12:00,1,1,2         ,1         ,"",0.0023,<0>  ,0.1410,<0>  ,0.0370,<0>  ,0.8410,<0>  ,0.8420,<0>  ,48.0600,<0>  ,
"owcwmnut  ","P",05/06/2013 14:00,1,1,2         ,1         ,"",0.0014,<0>  ,0.1120,<0>  ,0.0350,<0>  ,0.6950,<0>  ,0.6960,<0>  ,45.3900,<0>  ,
"owcwmnut  ","P",05/06/2013 16:00,1,1,2         ,1         ,"",0.0034,<0>  ,0.0120,<0>  ,0.0080,<0>  ,0.5380,<0>  ,0.5390,<0>  ,16.0200,<0>  ,
"owcwmnut  ","P",05/06/2013 18:00,1,1,2         ,1         ,"",0.0035,<0>  ,0.0080,<0>  ,0.0060,<0>  ,0.5110,<0>  ,0.5120,<0>  ,12.8200,<0>  ,
"owcwmnut  ","P",05/06/2013 20:00,1,1,2         ,1         ,"",0.0025,<0>  ,0.0570,<0>  ,0.0110,<0>  ,0.5630,<0>  ,0.5640,<0>  ,11.7500,<0>  ,
"owcwmnut  ","P",05/06/2013 22:00,1,1,2         ,1         ,"",0.0013,<0>  ,0.1260,<0>  ,0.0220,<0>  ,0.6640,<0>  ,0.6650,<0>  ,22.7000,<0>  ,
"owcwmnut  ","P",05/07/2013 0:00,1,1,2         ,1         ,"",0.0015,<0>  ,0.1460,<0>  ,0.0350,<0>  ,0.7760,<0>  ,0.7770,<0>  ,26.7000,<0>  ,
"owcwmnut  ","P",05/07/2013 2:00,1,1,2         ,1         ,"",0.0023,<0>  ,0.1830,<0>  ,0.0390,<0>  ,0.7850,<0>  ,0.7860,<0>  ,25.3600,<0>  ,
"owcwmnut  ","P",05/07/2013 4:00,1,1,2         ,1         ,"",0.0026,<0>  ,0.1830,<0>  ,0.0380,<0>  ,0.7350,<0>  ,0.7360,<0>  ,26.7000,<0>  ,
"owcwmnut  ","P",05/07/2013 6:00,1,1,2         ,1         ,"",0.0029,<0>  ,0.1550,<0>  ,0.0360,<0>  ,0.7230,<0>  ,0.7240,<0>  ,36.0400,<0>  ,
"owcwmnut  ","P",05/30/2013 9:30,1,1,1         ,1         ,"",0.0031,<0>  ,0.2000,<0>  ,0.0140,<0>  ,0.0520,<0>  ,0.0660,<0>  ,66.7500,<0>  ,
"owcwmnut  ","P",05/30/2013 9:31,1,1,1         ,2         ,"",0.0027,<0>  ,0.1840,<0>  ,0.0140,<0>  ,0.0500,<0>  ,0.0640,<0>  ,68.0800,<0>  ,
"owcwmnut  ","P",06/16/2013 4:00,1,1,2         ,1         ,"",0.0002,<0>  ,0.1650,<0>  ,0.1930,<0>  ,3.4020,<0>  ,3.4050,<0>  ,21.3600,<0>  ,
"owcwmnut  ","P",06/16/2013 6:00,1,1,2         ,1         ,"",0.0008,<0>  ,0.1580,<0>  ,0.1960,<0>  ,3.3920,<0>  ,3.3950,<0>  ,26.7000,<0>  ,
"owcwmnut  ","P",06/16/2013 8:00,1,1,2         ,1         ,"",0.0087,<0>  ,0.2160,<0>  ,0.1900,<0>  ,3.2570,<0>  ,3.2600,<0>  ,28.0400,<0>  ,
"owcwmnut  ","P",06/16/2013 10:00,1,1,2         ,1         ,"",0.0064,<0>  ,0.1450,<0>  ,0.1440,<0>  ,2.8230,<0>  ,2.8250,<0>  ,32.0400,<0>  ,
"owcwmnut  ","P",06/16/2013 12:00,1,1,2         ,1         ,"",0.0056,<0>  ,0.1410,<0>  ,0.1380,<0>  ,2.7370,<0>  ,2.7400,<0>  ,36.0400,<0>  ,
"owcwmnut  ","P",06/16/2013 14:00,1,1,2         ,1         ,"",0.0204,<0>  ,0.3500,<0>  ,0.2000,<0>  ,2.4720,<0>  ,2.4750,<0>  ,33.3800,<0>  ,
"owcwmnut  ","P",06/16/2013 16:00,1,1,2         ,1         ,"",0.0223,<0>  ,0.3630,<0>  ,0.1560,<0>  ,3.8910,<0>  ,3.8950,<0>  ,33.3800,<0>  ,
"owcwmnut  ","P",06/16/2013 18:00,1,1,2         ,1         ,"",0.0374,<0>  ,0.4000,<0>  ,0.1590,<0>  ,7.5820,<0>  ,7.5900,<0>  ,16.0200,<0>  ,
"owcwmnut  ","P",06/16/2013 20:00,1,1,2         ,1         ,"",0.0411,<0>  ,0.3960,<0>  ,0.1620,<0>  ,7.9270,<0>  ,7.9350,<0>  ,10.6800,<0>  ,
"owcwmnut  ","P",06/16/2013 22:00,1,1,2         ,1         ,"",0.0457,<0>  ,0.4180,<0>  ,0.1610,<0>  ,9.3480,<0>  ,9.3570,<0>  ,10.0100,<0>  ,
"owcwmnut  ","P",06/17/2013 0:00,1,1,2         ,1         ,"",0.0443,<0>  ,0.4120,<0>  ,0.1630,<0>  ,10.1130,<0>  ,10.1230,<0>  ,10.0100,<0>  ,
"owcwmnut  ","P",06/17/2013 2:00,1,1,2         ,1         ,"",0.0420,<0>  ,0.4520,<0>  ,0.1860,<0>  ,12.1940,<0>  ,12.2060,<0>  ,9.3500,<0>  ,
"owcwmnut  ","P",06/17/2013 4:00,1,1,2         ,1         ,"",0.0356,<0>  ,0.4010,<0>  ,0.1600,<0>  ,9.7320,<0>  ,9.7420,<0>  ,11.3500,<0>  ,
"owcwmnut  ","P",06/17/2013 6:00,1,1,2         ,1         ,"",0.0427,<0>  ,0.4660,<0>  ,0.1940,<0>  ,12.8620,<0>  ,12.8750,<0>  ,10.0100,<0>  ,
"owcwmnut  ","P",07/12/2013 10:00,1,1,1         ,1         ,"",0.0221,<0>  ,0.0410,<0>  ,0.0180,<0>  ,1.3720,<0>  ,1.3900,<0>  ,3.8400,<0>  ,
"owcwmnut  ","P",07/12/2013 10:01,1,1,1         ,2         ,"",0.0176,<0>  ,0.0370,<0>  ,0.0180,<0>  ,1.3220,<0>  ,1.3400,<0>  ,3.9500,<0>  ,
"owcwmnut  ","P",07/29/2013 4:00,1,1,2         ,1         ,"",0.0026,<0>  ,0.1090,<0>  ,0.0180,<0>  ,0.9090,<0>  ,0.9100,<0>  ,10.6800,<0>  ,
"owcwmnut  ","P",07/29/2013 6:00,1,1,2         ,1         ,"",0.0058,<0>  ,0.1140,<0>  ,0.0220,<0>  ,1.3090,<0>  ,1.3100,<0>  ,6.2300,<0>  ,
"owcwmnut  ","P",07/29/2013 8:00,1,1,2         ,1         ,"",0.0111,<0>  ,0.1120,<0>  ,0.0230,<0>  ,1.5640,<0>  ,1.5660,<0>  ,6.4100,<0>  ,
"owcwmnut  ","P",07/29/2013 10:00,1,1,2         ,1         ,"",0.0110,<0>  ,0.1150,<0>  ,0.0230,<0>  ,1.5180,<0>  ,1.5200,<0>  ,8.0100,<0>  ,
"owcwmnut  ","P",07/29/2013 12:00,1,1,2         ,1         ,"",0.0079,<0>  ,0.0970,<0>  ,0.0200,<0>  ,1.3910,<0>  ,1.3920,<0>  ,12.4600,<0>  ,
"owcwmnut  ","P",07/29/2013 14:00,1,1,2         ,1         ,"",0.0070,<0>  ,0.1090,<0>  ,0.0220,<0>  ,1.3660,<0>  ,1.3670,<0>  ,9.1500,<0>  ,
"owcwmnut  ","P",07/29/2013 16:00,1,1,2         ,1         ,"",0.0044,<0>  ,0.0920,<0>  ,0.0200,<0>  ,1.3700,<0>  ,1.3710,<0>  ,10.6800,<0>  ,
