"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apacpnut  ","P",01/10/2023 11:46,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0070,<0>  ,"","","","",0.1200,<0>  ,8.8000,<0>  ,
"apacpnut  ","P",01/10/2023 11:48,0,1,1         ,2         ,"",0.0040,<-4> [SBL] ,0.0060,<0>  ,"","","","",0.1200,<0>  ,9.0000,<0>  ,
"apacpnut  ","P",01/10/2023 12:00,0,1,1         ,3         ,"",0.0040,<-4> [SBL] ,0.0060,<0>  ,"","","","",0.1200,<0>  ,8.4000,<0>  ,
"apacpnut  ","P",02/08/2023 9:36,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0050,<0>  ,"","","","",0.0050,<0>  ,11.0000,<0>  ,
"apacpnut  ","P",02/28/2023 10:00,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0480,<0>  ,"","","","",0.1700,<0>  ,9.9000,<0>  ,
"apacpnut  ","P",04/04/2023 7:20,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0150,<0>  ,"","","","",0.1900,<0>  ,11.0000,<0>  ,
"apacpnut  ","P",05/01/2023 8:53,0,1,1         ,1         ,"",0.0040,<0>  ,0.0450,<0>  ,"","","","",0.1800,<0>  ,7.2000,<0>  ,
"apacpnut  ","P",05/30/2023 8:52,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0100,<0>  ,"","","","",0.0370,<0>  ,12.0000,<0>  ,
"apacpnut  ","P",06/20/2023 8:01,0,1,1         ,1         ,"",0.0040,<0>  ,0.0290,<0>  ,"","","","",0.0800,<0>  ,14.0000,<0>  ,
"apacpnut  ","P",08/01/2023 8:18,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0070,<0>  ,"","","","",0.0090,<0>  ,23.0000,<0>  ,
"apacpnut  ","P",09/11/2023 8:56,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0020,<0>  ,"","","","",0.0040,<0>  ,15.0000,<0>  ,
"apacpnut  ","P",10/06/2023 9:26,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0040,<0>  ,"","","","",0.0040,<-4> [SBL] ,6.4000,<0>  ,
"apacpnut  ","P",11/07/2023 9:30,0,1,1         ,1         ,"",0.0040,<0>  ,0.0060,<0>  ,"","","","",0.0240,<0>  ,"",<-2> (CSM) ,
"apacpnut  ","P",12/18/2023 10:43,0,1,1         ,1         ,"",0.0050,<0>  ,0.0270,<0>  ,"","","","",0.1300,<0>  ,4.5000,<0>  ,
