"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apaebnut  ","P",01/05/2021 9:00,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0960,<0>  ,"","","","",0.0490,<0>  ,5.8000,<0>  ,
"apaebnut  ","P",01/05/2021 9:04,0,1,1         ,2         ,"",0.0040,<-4> [SBL] ,0.1200,<0>  ,"","","","",0.0490,<0>  ,5.5000,<0>  ,
"apaebnut  ","P",01/05/2021 9:06,0,1,1         ,3         ,"",0.0040,<-4> [SBL] ,0.1100,<0>  ,"","","","",0.0490,<0>  ,5.4000,<0>  ,
"apaebnut  ","P",02/03/2021 8:35,0,1,1         ,1         ,"",0.0040,<0>  ,0.0450,<0>  ,"","","","",0.0410,<0>  ,5.9000,<0>  ,
"apaebnut  ","P",03/16/2021 7:43,0,1,1         ,1         ,"",0.0050,<0>  ,0.0260,<0>  ,"","","","",0.2000,<0>  ,11.0000,<0>  ,
"apaebnut  ","P",03/16/2021 7:45,0,1,1         ,2         ,"",0.0040,<-4> [SBL] ,0.0380,<0>  ,"","","","",0.1800,<0>  ,6.7000,<0>  ,
"apaebnut  ","P",03/16/2021 7:47,0,1,1         ,3         ,"",0.0040,<-4> [SBL] ,0.0370,<0>  ,"","","","",0.1800,<0>  ,7.4000,<0>  ,
"apaebnut  ","P",04/06/2021 7:53,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0110,<0>  ,"","","","",0.1400,<0>  ,11.0000,<0>  ,
"apaebnut  ","P",05/04/2021 8:12,0,1,1         ,1         ,"",0.0070,<0>  ,0.0140,<0>  ,"","","","",0.1600,<0>  ,10.0000,<0>  ,
"apaebnut  ","P",06/01/2021 8:11,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0060,<0>  ,"","","","",0.0090,<0>  ,21.0000,<0>  ,
"apaebnut  ","P",07/29/2021 6:41,0,1,1         ,1         ,"",0.0050,<0>  ,0.0910,<0>  ,"","","","",0.0360,<0>  ,6.5000,<0>  ,
"apaebnut  ","P",08/10/2021 8:02,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0850,<0>  ,"","","","",0.0840,<0>  ,7.3000,<0>  ,
"apaebnut  ","P",09/20/2021 7:37,0,1,1         ,1         ,"",0.0070,<0>  ,0.2500,<0>  ,"","","","",0.0560,<0>  ,3.9000,<0>  ,
"apaebnut  ","P",10/05/2021 7:52,0,1,1         ,1         ,"",0.0070,<0>  ,0.3900,<0>  ,"","","","",0.0240,<0>  ,5.4000,<0>  ,
"apaebnut  ","P",11/02/2021 7:45,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0950,<0>  ,"","","","",0.0540,<0>  ,14.0000,<0>  ,
"apaebnut  ","P",11/02/2021 7:47,0,1,1         ,2         ,"",0.0050,<0>  ,0.0940,<0>  ,"","","","",0.0540,<0>  ,12.0000,<0>  ,
"apaebnut  ","P",11/02/2021 7:49,0,1,1         ,3         ,"",0.0040,<0>  ,0.0960,<0>  ,"","","","",0.0540,<0>  ,12.0000,<0>  ,
"apaebnut  ","P",11/30/2021 8:29,0,1,1         ,1         ,"",0.0070,<0>  ,0.0060,<0>  ,"","","","",0.0040,<-4> [SBL] ,36.0000,<0>  ,
