"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apaegnut  ","S",01/05/2024 9:41,0,1,1         ,1         ,"",0.0100,<0>  ,0.0140,<0>  ,"","","","",0.4800,<0>  ,1.7000,<0>  ,
"apaegnut  ","S",02/03/2024 9:02,0,1,1         ,1         ,"",0.0070,<0>  ,0.0190,<0>  ,"","","","",0.5800,<0>  ,4.9000,<0>  ,
"apaegnut  ","S",03/16/2024 8:33,0,1,1         ,1         ,"",0.0050,<0>  ,0.0110,<0>  ,"","","","",0.3800,<0>  ,7.5000,<0>  ,
"apaegnut  ","S",04/06/2024 8:17,0,1,1         ,1         ,"",0.0070,<0>  ,0.0110,<0>  ,"","","","",0.4900,<0>  ,5.3000,<0>  ,
"apaegnut  ","S",05/04/2024 8:46,0,1,1         ,1         ,"",0.0120,<0>  ,0.0220,<0>  ,"","","","",0.4700,<0>  ,6.1000,<0>  ,
"apaegnut  ","S",06/01/2024 8:58,0,1,1         ,1         ,"",0.0050,<0>  ,0.0050,<0>  ,"","","","",0.0730,<0>  ,18.0000,<0>  ,
"apaegnut  ","S",07/29/2024 9:00,0,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"apaegnut  ","S",08/10/2024 8:25,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0230,<0>  ,"","","","",0.2300,<0>  ,6.5000,<0>  ,
"apaegnut  ","S",09/20/2024 8:13,0,1,1         ,1         ,"",0.0110,<0>  ,0.0410,<0>  ,"","","","",0.2500,<0>  ,3.8000,<0>  ,
"apaegnut  ","S",10/05/2024 8:10,0,1,1         ,1         ,"",0.0080,<0>  ,0.0440,<0>  ,"","","","",0.2200,<0>  ,5.3000,<0>  ,
"apaegnut  ","S",11/02/2024 8:21,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0160,<0>  ,"","","","",0.3500,<0>  ,7.3000,<0>  ,
"apaegnut  ","S",11/30/2024 9:41,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0120,<0>  ,"","","","",0.4100,<0>  ,6.8000,<0>  ,
