"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apaesnut  ","P",01/10/2012 11:03,0,1,1         ,1         ,"",0.0030,<-4> [SBL] ,0.0250,<0>  ,"","","","",0.0024,<-4> [SBL] ,9.1600,<0>  ,
"apaesnut  ","P",02/06/2012 11:15,0,1,2         ,1         ,"",0.0060,<0>  ,0.0300,<0>  ,"","","","",0.0080,<0>  ,22.7900,<0>  ,
"apaesnut  ","P",02/06/2012 13:45,0,1,2         ,1         ,"",0.0130,<0>  ,0.0150,<0>  ,"","","","",0.0120,<0>  ,23.9100,<0>  ,
"apaesnut  ","P",02/06/2012 16:15,0,1,2         ,1         ,"",0.0050,<0>  ,0.0180,<0>  ,"","","","",0.0480,<0>  ,20.1100,<0>  ,
"apaesnut  ","P",02/06/2012 18:45,0,1,2         ,1         ,"",0.0060,<0>  ,0.0240,<0>  ,"","","","",0.0540,<0>  ,19.8900,<0>  ,
"apaesnut  ","P",02/06/2012 21:15,0,1,2         ,1         ,"",0.0060,<0>  ,0.0180,<0>  ,"","","","",0.0310,<0>  ,20.1100,<0>  ,
"apaesnut  ","P",02/06/2012 23:45,0,1,2         ,1         ,"",0.0070,<0>  ,0.0170,<0>  ,"","","","",0.0040,<0>  ,25.0300,<0>  ,
"apaesnut  ","P",02/07/2012 2:15,0,1,2         ,1         ,"",0.0050,<0>  ,0.0130,<-4> [SBL] ,"","","","",0.0180,<0>  ,23.9100,<0>  ,
"apaesnut  ","P",02/07/2012 4:45,0,1,2         ,1         ,"",0.0070,<0>  ,0.0150,<0>  ,"","","","",0.0170,<0>  ,23.0200,<0>  ,
"apaesnut  ","P",02/07/2012 7:15,0,1,2         ,1         ,"",0.0080,<0>  ,0.0200,<0>  ,"","","","",0.0040,<0>  ,16.7600,<0>  ,
"apaesnut  ","P",02/07/2012 9:45,0,1,2         ,1         ,"",0.0070,<0>  ,0.0190,<0>  ,"","","","",0.0040,<0>  ,23.2400,<0>  ,
"apaesnut  ","P",02/07/2012 12:15,0,1,2         ,1         ,"",0.0060,<0>  ,0.0130,<-4> [SBL] ,"","","","",0.0040,<0>  ,23.0200,<0>  ,
"apaesnut  ","P",02/07/2012 12:17,0,1,1         ,1         ,"",0.0060,<0>  ,0.0280,<0>  ,"","","","",0.0060,<0>  ,20.7800,<0>  ,
"apaesnut  ","P",03/05/2012 13:10,0,1,1         ,1         ,"",0.0030,<-4> [SBL] ,0.0690,<0>  ,"","","","",0.0900,<0>  ,19.4400,<0>  ,
"apaesnut  ","P",03/05/2012 13:15,0,1,2         ,1         ,"",0.0050,<0>  ,0.0330,<0>  ,"","","","",0.1050,<0>  ,18.3200,<0>  ,
"apaesnut  ","P",03/05/2012 15:45,0,1,2         ,1         ,"",0.0050,<0>  ,0.0450,<0>  ,"","","","",0.2040,<1> [GQS] (CSM) ,15.4200,<0>  ,
"apaesnut  ","P",03/05/2012 18:15,0,1,2         ,1         ,"",0.0030,<0>  ,0.0580,<0>  ,"","","","",0.1240,<0>  ,15.4200,<0>  ,
"apaesnut  ","P",03/05/2012 20:45,0,1,2         ,1         ,"",0.0060,<0>  ,0.0560,<0>  ,"","","","",0.0950,<0>  ,10.2800,<0>  ,
"apaesnut  ","P",03/05/2012 23:15,0,1,2         ,1         ,"",0.0030,<0>  ,0.0590,<0>  ,"","","","",0.1030,<0>  ,9.1600,<0>  ,
"apaesnut  ","P",03/06/2012 1:45,0,1,2         ,1         ,"",0.0050,<0>  ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,6.2600,<0>  ,
"apaesnut  ","P",03/06/2012 4:15,0,1,2         ,1         ,"",0.0060,<0>  ,0.0540,<0>  ,"","","","",0.1120,<0>  ,9.6100,<0>  ,
"apaesnut  ","P",03/06/2012 6:45,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0550,<0>  ,"","","","",0.0840,<0>  ,8.7100,<0>  ,
"apaesnut  ","P",03/06/2012 9:15,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0490,<0>  ,"","","","",0.0620,<0>  ,10.2800,<0>  ,
"apaesnut  ","P",03/06/2012 11:45,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0580,<0>  ,"","","","",0.0570,<0>  ,13.4100,<0>  ,
"apaesnut  ","P",03/06/2012 14:15,0,1,2         ,1         ,"{CSM}","",<0>  ,"",<-2> [GDM] ,"","","","","",<-2> [GDM] ,"",<-2> [GDM] ,
"apaesnut  ","P",04/03/2012 0:00,0,1,2         ,1         ,"",0.0030,<0>  ,0.0270,<0>  ,"","","","",0.0060,<0>  ,18.3200,<0>  ,
"apaesnut  ","P",04/03/2012 9:00,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0320,<0>  ,"","","","",0.0070,<0>  ,21.4500,<0>  ,
"apaesnut  ","P",04/03/2012 11:30,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0340,<0>  ,"","","","",0.2390,<1> [GQS] (CSM) ,22.1200,<0>  ,
"apaesnut  ","P",04/03/2012 14:00,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0180,<0>  ,"","","","",0.0420,<0>  ,23.2400,<0>  ,
"apaesnut  ","P",04/03/2012 16:30,0,1,2         ,1         ,"",0.0060,<0>  ,0.0150,<0>  ,"","","","",0.0110,<0>  ,22.1200,<0>  ,
"apaesnut  ","P",04/03/2012 19:00,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0360,<0>  ,"","","","",0.0060,<0>  ,17.8800,<0>  ,
"apaesnut  ","P",04/03/2012 21:30,0,1,2         ,1         ,"",0.0030,<0>  ,0.0250,<0>  ,"","","","",0.0050,<0>  ,19.2200,<0>  ,
"apaesnut  ","P",04/04/2012 2:30,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0350,<0>  ,"","","","",0.0310,<0>  ,22.5700,<0>  ,
"apaesnut  ","P",04/04/2012 5:00,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0310,<0>  ,"","","","",0.0170,<0>  ,16.7600,<0>  ,
"apaesnut  ","P",04/04/2012 7:30,0,1,2         ,1         ,"",0.0040,<0>  ,0.0330,<0>  ,"","","","",0.0090,<0>  ,19.4400,<0>  ,
"apaesnut  ","P",04/04/2012 10:00,0,1,2         ,1         ,"",0.0040,<0>  ,0.0180,<0>  ,"","","","",0.0070,<0>  ,22.1200,<0>  ,
"apaesnut  ","P",04/04/2012 11:04,0,1,1         ,1         ,"",0.0030,<-4> [SBL] ,0.0520,<0>  ,"","","","",0.0180,<0>  ,19.4400,<0>  ,
"apaesnut  ","P",05/09/2012 10:48,0,1,1         ,1         ,"",0.0030,<-4> [SBL] ,0.0420,<0>  ,"","","","",0.0060,<0>  ,16.5400,<0>  ,
"apaesnut  ","P",06/05/2012 7:43,0,1,1         ,1         ,"",0.0040,<0>  ,0.0340,<0>  ,"","","","",0.0390,<0>  ,13.6300,<0>  ,
"apaesnut  ","P",07/02/2012 9:30,0,1,2         ,1         ,"{CSM}",0.0060,<0>  ,0.0280,<0>  ,"","","","",0.0140,<0>  ,0.8900,<0>  ,
"apaesnut  ","P",07/02/2012 12:00,0,1,2         ,1         ,"{CSM}",0.0050,<0>  ,0.0820,<0>  ,"","","","",0.0220,<0>  ,0.8900,<0>  ,
"apaesnut  ","P",07/02/2012 14:30,0,1,2         ,1         ,"{CSM}",0.0040,<0>  ,0.1020,<0>  ,"","","","",0.0330,<0>  ,0.6700,<0>  ,
"apaesnut  ","P",07/02/2012 17:00,0,1,2         ,1         ,"{CSM}",0.0060,<0>  ,0.0410,<0>  ,"","","","",0.0250,<0>  ,0.8900,<0>  ,
"apaesnut  ","P",07/02/2012 19:30,0,1,2         ,1         ,"{CSM}",0.0060,<0>  ,0.0380,<0>  ,"","","","",0.0150,<0>  ,0.6700,<0>  ,
"apaesnut  ","P",07/02/2012 22:00,0,1,2         ,1         ,"{CSM}",0.0050,<0>  ,0.0560,<0>  ,"","","","",0.0190,<0>  ,1.1200,<1> [GQS] ,
"apaesnut  ","P",07/03/2012 0:30,0,1,2         ,1         ,"{CSM}",0.0050,<0>  ,0.0520,<0>  ,"","","","",0.0210,<0>  ,0.4500,<0>  ,
"apaesnut  ","P",07/03/2012 3:00,0,1,2         ,1         ,"{CSM}",0.0040,<0>  ,0.0560,<0>  ,"","","","",0.0300,<0>  ,1.3400,<0>  ,
"apaesnut  ","P",07/03/2012 5:30,0,1,2         ,1         ,"{CSM}",0.0040,<0>  ,0.0920,<0>  ,"","","","",0.0360,<0>  ,1.3400,<0>  ,
"apaesnut  ","P",07/03/2012 8:00,0,1,2         ,1         ,"{CSM}",0.0030,<0>  ,0.0900,<0>  ,"","","","",0.0350,<0>  ,1.3400,<0>  ,
"apaesnut  ","P",07/03/2012 10:30,0,1,2         ,1         ,"{CSM}",0.0030,<0>  ,0.0850,<0>  ,"","","","",0.0340,<0>  ,2.0100,<0>  ,
"apaesnut  ","P",07/03/2012 10:40,0,1,1         ,1         ,"{CSM}",0.0040,<0>  ,0.1350,<0>  ,"","","","",0.0210,<0>  ,1.1200,<0>  ,
"apaesnut  ","P",08/06/2012 8:45,0,1,2         ,1         ,"{CSM}",0.0030,<-4> [SBL] ,0.0920,<0>  ,"","","","",0.0480,<0>  ,2.6800,<0>  ,
"apaesnut  ","P",08/06/2012 11:15,0,1,2         ,1         ,"{CSM}",0.0030,<-4> [SBL] ,0.0560,<0>  ,"","","","",0.0380,<0>  ,1.5600,<0>  ,
"apaesnut  ","P",08/06/2012 13:45,0,1,2         ,1         ,"{CSM}",0.0030,<-4> [SBL] ,0.0320,<0>  ,"","","","",0.0340,<0>  ,1.7900,<0>  ,
"apaesnut  ","P",08/06/2012 16:15,0,1,2         ,1         ,"{CSM}",0.0030,<-4> [SBL] ,0.0520,<0>  ,"","","","",0.0480,<0>  ,3.8000,<0>  ,
"apaesnut  ","P",08/06/2012 18:45,0,1,2         ,1         ,"{CSM}",0.0030,<0>  ,0.0600,<0>  ,"","","","",0.0450,<0>  ,4.9200,<0>  ,
"apaesnut  ","P",08/06/2012 21:15,0,1,2         ,1         ,"{CSM}",0.0030,<0>  ,0.0500,<0>  ,"","","","",0.0450,<0>  ,4.0200,<0>  ,
"apaesnut  ","P",08/06/2012 23:45,0,1,2         ,1         ,"{CSM}",0.0030,<0>  ,0.0330,<0>  ,"","","","",0.0380,<0>  ,3.5800,<0>  ,
"apaesnut  ","P",08/07/2012 2:15,0,1,2         ,1         ,"{CSM}",0.0030,<-4> [SBL] ,0.0830,<0>  ,"","","","",0.0480,<0>  ,3.8000,<0>  ,
"apaesnut  ","P",08/07/2012 4:45,0,1,2         ,1         ,"{CSM}",0.0030,<-4> [SBL] ,0.0760,<0>  ,"","","","",0.0470,<0>  ,3.5800,<0>  ,
"apaesnut  ","P",08/07/2012 7:15,0,1,2         ,1         ,"{CSM}",0.0030,<-4> [SBL] ,0.0730,<0>  ,"","","","",0.0500,<0>  ,5.8100,<0>  ,
"apaesnut  ","P",08/07/2012 9:45,0,1,2         ,1         ,"{CSM}",0.0030,<0>  ,0.0830,<0>  ,"","","","",0.0490,<0>  ,4.0200,<0>  ,
"apaesnut  ","P",08/07/2012 10:29,0,1,1         ,1         ,"{CSM}",0.0030,<-4> [SBL] ,0.0560,<0>  ,"","","","",0.0380,<0>  ,3.1300,<0>  ,
"apaesnut  ","P",09/04/2012 10:30,0,1,2         ,1         ,"",0.0030,<0>  ,0.0760,<0>  ,"","","","",0.0300,<0>  ,8.9400,<0>  ,
"apaesnut  ","P",09/04/2012 13:00,0,1,2         ,1         ,"",0.0030,<0>  ,0.0240,<0>  ,"","","","",0.0240,<0>  ,20.1100,<0>  ,
"apaesnut  ","P",09/04/2012 15:30,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0270,<0>  ,"","","","",0.0240,<0>  ,8.9400,<0>  ,
"apaesnut  ","P",09/04/2012 18:00,0,1,2         ,1         ,"",0.0030,<0>  ,0.0640,<0>  ,"","","","",0.0320,<0>  ,9.6100,<0>  ,
"apaesnut  ","P",09/04/2012 20:30,0,1,2         ,1         ,"",0.0050,<0>  ,0.0550,<0>  ,"","","","",0.0310,<0>  ,10.0600,<0>  ,
"apaesnut  ","P",09/04/2012 23:00,0,1,2         ,1         ,"",0.0030,<0>  ,0.0780,<0>  ,"","","","",0.0320,<0>  ,8.4900,<0>  ,
"apaesnut  ","P",09/05/2012 1:30,0,1,2         ,1         ,"",0.0040,<0>  ,0.0420,<0>  ,"","","","",0.0290,<0>  ,6.4800,<0>  ,
"apaesnut  ","P",09/05/2012 4:00,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0740,<0>  ,"","","","",0.0340,<0>  ,7.6000,<0>  ,
"apaesnut  ","P",09/05/2012 6:30,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0560,<0>  ,"","","","",0.0370,<0>  ,7.3700,<0>  ,
"apaesnut  ","P",09/05/2012 9:00,0,1,2         ,1         ,"",0.0030,<0>  ,0.0580,<0>  ,"","","","",0.0330,<0>  ,8.7100,<0>  ,
"apaesnut  ","P",09/05/2012 10:23,0,1,1         ,1         ,"",0.0030,<-4> [SBL] ,0.0240,<0>  ,"","","","",0.0240,<0>  ,14.5200,<0>  ,
"apaesnut  ","P",09/05/2012 11:30,0,1,2         ,1         ,"{CSM}","",<-2> [GDM] ,"",<-2> [GDM] ,"","","","","",<-2> [GDM] ,"",<-2> [GDM] ,
"apaesnut  ","P",10/01/2012 8:45,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0500,<0>  ,"","","","",0.0070,<0>  ,20.5600,<0>  ,
"apaesnut  ","P",10/01/2012 11:15,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0240,<0>  ,"","","","",0.0024,<-4> [SBL] ,27.0400,<0>  ,
"apaesnut  ","P",10/01/2012 13:45,0,1,2         ,1         ,"",0.0030,<0>  ,0.0240,<0>  ,"","","","",0.0024,<-4> [SBL] ,25.2500,<0>  ,
"apaesnut  ","P",10/01/2012 16:15,0,1,2         ,1         ,"",0.0040,<0>  ,0.0130,<-4> [SBL] ,"","","","",0.0210,<0>  ,16.5400,<0>  ,
"apaesnut  ","P",10/01/2012 18:45,0,1,2         ,1         ,"",0.0040,<0>  ,0.0130,<-4> [SBL] ,"","","","",0.0290,<0>  ,13.6300,<0>  ,
"apaesnut  ","P",10/01/2012 21:15,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0170,<0>  ,"","","","",0.0220,<0>  ,18.1000,<0>  ,
"apaesnut  ","P",10/01/2012 23:45,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0430,<0>  ,"","","","",0.0250,<0>  ,14.9700,<0>  ,
"apaesnut  ","P",10/02/2012 2:15,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0130,<-4> [SBL] ,"","","","",0.0240,<0>  ,16.7600,<0>  ,
"apaesnut  ","P",10/02/2012 4:45,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0390,<0>  ,"","","","",0.0220,<0>  ,14.7500,<0>  ,
"apaesnut  ","P",10/02/2012 7:15,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0470,<0>  ,"","","","",0.0200,<0>  ,17.4300,<0>  ,
"apaesnut  ","P",10/02/2012 9:45,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0190,<0>  ,"","","","",0.0120,<0>  ,21.0000,<0>  ,
"apaesnut  ","P",10/02/2012 9:53,0,1,1         ,1         ,"",0.0030,<-4> [SBL] ,0.0430,<0>  ,"","","","",0.0160,<0>  ,23.9100,<0>  ,
"apaesnut  ","P",11/06/2012 10:57,0,1,1         ,1         ,"",0.0030,<-4> [SBL] ,0.0380,<0>  ,"","","","",0.0060,<0>  ,12.0700,<0>  ,
"apaesnut  ","P",11/26/2012 11:00,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0610,<0>  ,"","","","",0.0024,<-4> [SBL] ,4.9200,<0>  ,
"apaesnut  ","P",11/26/2012 11:10,0,1,1         ,1         ,"",0.0030,<-4> [SBL] ,0.0360,<0>  ,"","","","",0.0030,<0>  ,4.9200,<0>  ,
"apaesnut  ","P",11/26/2012 11:12,0,1,1         ,2         ,"",0.0030,<0>  ,0.0350,<0>  ,"","","","",0.0024,<-4> [SBL] ,4.6920,<0>  ,
"apaesnut  ","P",11/26/2012 11:15,0,1,1         ,3         ,"",0.0030,<-4> [SBL] ,0.0540,<0>  ,"","","","",0.0024,<-4> [SBL] ,6.0300,<0>  ,
"apaesnut  ","P",11/26/2012 13:30,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0410,<0>  ,"","","","",0.0024,<-4> [SBL] ,6.7000,<0>  ,
"apaesnut  ","P",11/26/2012 16:00,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0410,<0>  ,"","","","",0.0024,<-4> [SBL] ,6.2600,<0>  ,
"apaesnut  ","P",11/26/2012 18:30,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0350,<0>  ,"","","","",0.0024,<-4> [SBL] ,8.0400,<0>  ,
"apaesnut  ","P",11/26/2012 21:00,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0450,<0>  ,"","","","",0.0024,<-4> [SBL] ,4.2400,<0>  ,
"apaesnut  ","P",11/26/2012 23:30,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0340,<0>  ,"","","","",0.0024,<-4> [SBL] ,4.0200,<0>  ,
"apaesnut  ","P",11/27/2012 2:00,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0230,<0>  ,"","","","",0.0024,<-4> [SBL] ,8.2700,<0>  ,
"apaesnut  ","P",11/27/2012 4:30,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0250,<0>  ,"","","","",0.0024,<-4> [SBL] ,4.0200,<0>  ,
"apaesnut  ","P",11/27/2012 7:00,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0160,<0>  ,"","","","",0.0024,<-4> [SBL] ,6.0300,<0>  ,
"apaesnut  ","P",11/27/2012 9:30,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.0310,<0>  ,"","","","",0.0024,<-4> [SBL] ,4.6900,<0>  ,
"apaesnut  ","P",11/27/2012 12:00,0,1,2         ,1         ,"{CSM}","",<-2> [GDM] ,"",<-2> [GDM] ,"","","","","",<-2> [GDM] ,"",<-2> [GDM] ,
