"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apambnut  ","S",02/21/2022 13:36,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0080,<0>  ,"","","","",0.2000,<0>  ,16.0000,<0>  ,
"apambnut  ","S",03/01/2022 13:30,0,1,1         ,1         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,
"apambnut  ","S",04/18/2022 10:30,0,1,1         ,1         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,
"apambnut  ","S",05/03/2022 11:47,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0030,<0>  ,"","","","",0.1400,<0>  ,5.7000,<0>  ,
"apambnut  ","S",05/31/2022 12:44,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0040,<0>  ,"","","","",0.0540,<0>  ,11.0000,<0>  ,
"apambnut  ","S",06/28/2022 12:06,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0020,<-4> [SBL] ,"","","","",0.0040,<-4> [SBL] ,18.0000,<0>  ,
"apambnut  ","S",08/02/2022 10:50,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0040,<0>  ,"","","","",0.0070,<0>  ,9.3000,<0>  ,
"apambnut  ","S",09/06/2022 12:23,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0040,<0>  ,"","","","",0.0060,<0>  ,8.8000,<0>  ,
"apambnut  ","S",10/04/2022 10:51,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0050,<0>  ,"","","","",0.0040,<-4> [SBL] ,17.0000,<0>  ,
"apambnut  ","S",11/01/2022 11:18,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0060,<0>  ,"","","","",0.0080,<0>  ,10.0000,<0>  ,
"apambnut  ","S",12/13/2022 14:12,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0080,<0>  ,"","","","",0.0650,<0>  ,14.0000,<0>  ,
