"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apanhnut  ","S",01/06/2015 13:21,1,1,1         ,1         ,"",0.0080,<0>  ,0.0320,<0>  ,"","","","",0.2200,<0>  ,5.0000,<0>  ,
"apanhnut  ","S",02/11/2015 9:54,1,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0080,<0>  ,"","","","",0.2600,<0>  ,2.6000,<0>  ,
"apanhnut  ","S",03/10/2015 9:39,1,1,1         ,1         ,"",0.0040,<0>  ,0.0160,<0>  ,"","","","",0.0640,<0>  ,4.3000,<0>  ,
"apanhnut  ","S",04/06/2015 10:00,1,1,1         ,1         ,"",0.0050,<0>  ,0.0260,<0>  ,"","","","",0.0620,<0>  ,7.1000,<0>  ,
"apanhnut  ","S",05/07/2015 8:57,1,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0090,<0>  ,"","","","",0.1400,<0>  ,9.0000,<0>  ,
"apanhnut  ","S",06/02/2015 8:44,1,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0060,<0>  ,"","","","",0.0360,<0>  ,7.1000,<0>  ,
"apanhnut  ","S",07/07/2015 9:05,1,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0610,<0>  ,"","","","",0.0350,<0>  ,7.6000,<0>  ,
"apanhnut  ","S",08/04/2015 9:43,1,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0060,<0>  ,"","","","",0.0040,<-4> [SBL] ,7.3000,<0>  ,
"apanhnut  ","S",09/01/2015 9:16,1,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0030,<0>  ,"","","","",0.0040,<-4> [SBL] ,8.0000,<0>  ,
"apanhnut  ","S",10/06/2015 9:14,1,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0060,<0>  ,"","","","",0.0220,<0>  ,10.0000,<0>  ,
"apanhnut  ","S",11/03/2015 10:12,1,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0300,<0>  ,"","","","",0.0690,<0>  ,1.8000,<0>  ,
"apanhnut  ","S",12/01/2015 11:24,1,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0080,<0>  ,"","","","",0.0540,<0>  ,2.3000,<0>  ,
