"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apapcnut  ","S",01/04/2005 13:02,1,1,1         ,1         ,"",0.0330,<4>  ,0.0410,<4>  ,0.0030,<4>  ,0.2650,<4>  C                   ,0.2680,<4>  ,0.6400,<4>  ,
"apapcnut  ","S",01/04/2005 13:04,1,1,1         ,2         ,"",0.0260,<4>  ,0.0430,<4>  ,0.0030,<4>  ,0.3050,<4>  C                   ,0.3080,<4>  ,0.6400,<4>  ,
"apapcnut  ","S",02/07/2005 12:10,1,1,1         ,1         ,"",0.0020,<4>  ,0.0240,<4>  ,0.0050,<4>  ,0.2580,<4>  C                   ,0.2630,<4>  ,1.2800,<4>  ,
"apapcnut  ","S",02/07/2005 12:12,1,1,1         ,2         ,"",0.0020,<4>  ,0.0240,<4>  ,0.0040,<4>  ,0.2830,<4>  C                   ,0.2870,<4>  ,2.1300,<4>  ,
"apapcnut  ","S",03/02/2005 13:57,1,1,1         ,1         ,"",0.0010,<4>  ,0.0080,<4>  ,0.0170,<4>  ,0.0330,<4>  C                   ,0.0500,<4>  ,0.9000,<4>  ,
"apapcnut  ","S",03/02/2005 14:00,1,1,1         ,2         ,"",0.0010,<4>  ,0.0040,<4>  ,0.0180,<4>  ,0.0310,<4>  C                   ,0.0490,<4>  ,0.8500,<4>  ,
"apapcnut  ","S",04/04/2005 12:50,1,1,1         ,1         ,"",0.0050,<4>  ,0.0550,<4>  ,0.0210,<4>  ,0.3360,<4>  C                   ,0.3570,<4>  ,1.6000,<4>  ,
"apapcnut  ","S",04/04/2005 12:52,1,1,1         ,2         ,"",0.0050,<4>  ,0.0540,<4>  ,0.0220,<4>  ,0.3300,<4>  C                   ,0.3520,<4>  ,1.2800,<4>  ,
"apapcnut  ","S",05/02/2005 12:07,1,1,1         ,1         ,"",0.0020,<4>  ,0.0430,<4>  ,0.0070,<4>  ,0.1930,<4>  C                   ,0.2000,<4>  ,1.7300,<4>  ,
"apapcnut  ","S",05/02/2005 12:09,1,1,1         ,2         ,"",0.0020,<4>  ,0.0350,<4>  ,0.0030,<4>  ,0.2070,<4>  C                   ,0.2100,<4>  ,1.1500,<4>  ,
"apapcnut  ","S",06/06/2005 10:55,1,1,1         ,1         ,"",0.0020,<4>  ,0.0370,<4>  ,0.0060,<4>  ,0.2040,<4>  C                   ,0.2100,<4>  ,0.8500,<4>  ,
"apapcnut  ","S",06/06/2005 10:57,1,1,1         ,2         ,"",0.0020,<4>  ,0.0360,<4>  ,0.0050,<4>  ,0.2240,<4>  C                   ,0.2290,<4>  ,0.8500,<4>  ,
"apapcnut  ","S",08/09/2005 10:30,1,1,1         ,1         ,"",0.0010,<4>  ,0.0350,<4>  ,0.0020,<4>  ,0.1240,<4>  C                   ,0.1260,<4>  ,2.5600,<4>  ,
"apapcnut  ","S",08/09/2005 10:35,1,1,1         ,2         ,"",0.0010,<4>  ,0.0380,<4>  ,0.0020,<4>  ,0.1300,<4>  C                   ,0.1320,<4>  ,2.9900,<4>  ,
"apapcnut  ","S",11/08/2005 12:08,1,1,1         ,1         ,"",0.0010,<4>  ,0.0250,<4>  ,0.0020,<4>  B                   ,"",<4>  B - C               ,0.0490,<4>  ,1.2800,<4>  ,
"apapcnut  ","S",11/08/2005 12:10,1,1,1         ,2         ,"",0.0010,<4>  ,0.0260,<4>  ,0.0020,<4>  B                   ,"",<4>  B - C               ,0.0510,<4>  ,0.8500,<4>  ,
"apapcnut  ","S",11/30/2005 9:25,1,1,1         ,1         ,"",0.0010,<4>  ,0.0050,<4>  ,0.0020,<4>  B                   ,"",<4>  B - C               ,0.0200,<4>  ,1.2800,<4>  ,
"apapcnut  ","S",11/30/2005 9:30,1,1,1         ,2         ,"",0.0010,<4>  ,0.0060,<4>  ,0.0020,<4>  B                   ,"",<4>  B - C               ,0.0190,<4>  ,1.7100,<4>  ,
