"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"aparvnut  ","S",02/21/2022 13:56,0,1,1         ,1         ,"",0.0080,<0>  ,0.0150,<0>  ,"","","","",0.4400,<0>  ,3.6000,<0>  ,
"aparvnut  ","S",03/01/2022 14:00,0,1,1         ,1         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,
"aparvnut  ","S",04/18/2022 11:30,0,1,1         ,1         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,
"aparvnut  ","S",05/03/2022 12:28,0,1,1         ,1         ,"",0.0130,<0>  ,0.0270,<0>  ,"","","","",0.4000,<0>  ,1.8000,<0>  ,
"aparvnut  ","S",05/31/2022 13:25,0,1,1         ,1         ,"",0.0080,<0>  ,0.0240,<0>  ,"","","","",0.4400,<0>  ,3.7000,<0>  ,
"aparvnut  ","S",06/28/2022 12:46,0,1,1         ,1         ,"",0.0100,<0>  ,0.0270,<0>  ,"","","","",0.4600,<0>  ,4.9000,<0>  ,
"aparvnut  ","S",08/03/2022 11:30,0,1,1         ,1         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,
"aparvnut  ","S",09/06/2022 13:02,0,1,1         ,1         ,"",0.0100,<0>  ,0.0190,<0>  ,"","","","",0.3300,<0>  ,3.0000,<0>  ,
"aparvnut  ","S",10/04/2022 11:20,0,1,1         ,1         ,"",0.0040,<0>  ,0.0140,<0>  ,"","","","",0.3400,<0>  ,5.1000,<0>  ,
"aparvnut  ","S",11/01/2022 12:00,0,1,1         ,1         ,"",0.0090,<0>  ,0.0210,<0>  ,"","","","",0.5600,<0>  ,2.5000,<0>  ,
"aparvnut  ","S",12/13/2022 14:54,0,1,1         ,1         ,"",0.0110,<0>  ,0.0130,<0>  ,"","","","",0.2400,<0>  ,3.3000,<0>  ,
