"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apascnut  ","S",01/06/2008 11:10,1,1,1         ,1         ,"",0.0030,<0>  ,0.0117,<-4> [SBL] ,"","","","",0.0062,<-4> [SBL] ,0.7000,<0>  ,
"apascnut  ","S",01/06/2008 11:12,1,1,1         ,2         ,"",0.0020,<-4> [SBL] ,0.0117,<-4> [SBL] ,"","","","",0.0062,<-4> [SBL] ,0.4000,<0>  ,
"apascnut  ","S",01/06/2008 11:15,1,1,1         ,3         ,"",0.0020,<-4> [SBL] ,0.0117,<-4> [SBL] ,"","","","",0.0062,<-4> [SBL] ,0.4000,<0>  ,
"apascnut  ","S",02/11/2008 11:09,1,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.0140,<0>  ,"","","","",0.0590,<0>  ,3.1000,<0>  ,
"apascnut  ","S",03/11/2008 10:09,1,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.0117,<-4> [SBL] ,"","","","",0.0062,<-4> [SBL] ,1.6000,<0>  ,
"apascnut  ","S",04/21/2008 9:42,1,1,1         ,1         ,"",0.0020,<0>  ,0.0117,<-4> [SBL] ,"","","","",0.0250,<0>  ,3.8000,<0>  ,
"apascnut  ","S",05/13/2008 11:22,1,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.0180,<0>  ,"","","","",0.0062,<-4> [SBL] ,4.7000,<0>  ,
"apascnut  ","S",06/09/2008 9:26,1,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.0260,<0>  ,"","","","",0.0062,<-4> [SBL] ,2.7000,<0>  ,
"apascnut  ","S",07/08/2008 14:07,1,1,1         ,1         ,"",0.0020,<0>  ,0.0180,<0>  ,"","","","",0.0062,<-4> [SBL] ,3.8000,<0>  ,
"apascnut  ","S",08/05/2008 9:01,1,1,1         ,1         ,"",0.0040,<0>  ,0.0120,<0>  ,"","","","",0.0062,<-4> [SBL] ,5.1000,<0>  ,
"apascnut  ","S",09/08/2008 9:15,1,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.0117,<-4> [SBL] ,"","","","",0.0062,<-4> [SBL] ,2.7000,<0>  ,
"apascnut  ","S",10/07/2008 10:50,1,1,1         ,1         ,"",0.0040,<0>  ,0.0120,<0>  ,"","","","",0.0062,<-4> [SBL] (CHB) ,9.4000,<0>  ,
"apascnut  ","S",11/04/2008 9:47,1,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.0200,<0>  ,"","","","",0.0062,<-4> [SBL] ,3.6000,<0>  ,
"apascnut  ","S",12/03/2008 11:14,1,1,1         ,1         ,"",0.0020,<-4> [SBL] (CHB) ,0.0390,<0>  ,"","","","",0.0140,<0>  ,6.5000,<0>  ,
