"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"job10nut  ","P",01/27/2016 10:00,1,1,1         ,1         ,"{CSP} {TSH} {WH0} {ESE} {WS1} {PNP}",0.0020,<-4> [SBL] ,0.0712,<0>  ,0.0195,<1> [SRD] ,0.0337,<1> [SRD] ,0.0532,<1> [SRD] ,1.0400,<0>  ,
"job10nut  ","P",01/27/2016 10:01,1,1,1         ,2         ,"{CSP} {TSH} {WH0} {ESE} {WS1} {PNP}",0.0020,<-4> [SBL] ,0.0678,<0>  ,0.0032,<1> [SRD] ,0.0093,<1> [SRD] ,0.0125,<1> [SRD] ,1.1600,<0>  ,
"job10nut  ","P",02/18/2016 13:00,1,1,1         ,1         ,"{CSP} {TSH} {WH0} {E} {WS0} {PNP}",0.0020,<-4> [SBL] ,0.0329,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,1.0900,<0>  ,
"job10nut  ","P",02/18/2016 13:01,1,1,1         ,2         ,"{CSP} {TSH} {WH0} {E} {WS0} {PNP}",0.0020,<-4> [SBL] ,0.0287,<0>  ,0.0018,<0>  ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,0.8800,<0>  ,
"job10nut  ","P",03/29/2016 10:20,1,1,1         ,1         ,"{COC} {TSE} {WH0} {SE} {WS0} {PLR}",0.0026,<0>  ,0.0385,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0053,<0>  ,1.0500,<0>  ,
"job10nut  ","P",03/29/2016 10:21,1,1,1         ,2         ,"{COC} {TSE} {WH0} {SE} {WS0} {PLR}",0.0028,<0>  ,0.0427,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0110,<0>  ,1.1100,<0>  ,
"job10nut  ","P",04/14/2016 9:50,1,1,1         ,1         ,"{CCL} {WH0} {S} {WS0} {PNP} {TSE}",0.0035,<0>  ,0.0354,<0>  ,0.0017,<0>  ,0.1960,<1> [SRD] ,0.1977,<1> [SRD] ,0.7900,<0>  ,
"job10nut  ","P",04/14/2016 9:51,1,1,1         ,2         ,"{CCL} {WH0} {S} {WS0} {PNP} {TSE}",0.0035,<0>  ,0.0367,<0>  ,0.0017,<0>  ,0.0052,<1> [SRD] ,0.0069,<1> [SRD] ,0.9200,<0>  ,
"job10nut  ","P",05/25/2016 9:53,1,1,1         ,1         ,"{COC} {PNP} {TSL} {WH0} {SE} {WS0}",0.0045,<0>  ,0.0252,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0265,<1> [SRD] ,1.6300,<0>  ,
"job10nut  ","P",05/25/2016 9:54,1,1,1         ,2         ,"{COC} {PNP} {TSL} {WH0} {SE} {WS0}",0.0046,<0>  ,0.0214,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,1.7400,<0>  ,
"job10nut  ","P",06/15/2016 9:50,1,1,1         ,1         ,"{CHY} {PNP} {TSL} {WH0} {SE} {WS1}",0.0020,<-4> [SBL] ,0.0228,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,1.1400,<0>  ,
"job10nut  ","P",06/15/2016 9:51,1,1,1         ,2         ,"{CHY} {PNP} {TSL} {WH0} {SE} {WS1}",0.0020,<-4> [SBL] ,0.0199,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,1.0200,<0>  ,
