"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"narncwq  ","P",03/14/2002 13:00,1,1,"",10.4,<4> ,"",<4> ,"",<4> ,163.1,<1> ,16.2,<1> ,0.33,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.3,<4> ,1,<4> ,"",<-1> ,
"narncwq  ","P",03/14/2002 13:30,1,1,"",10.9,<4> ,"",<4> ,"",<4> ,161.6,<1> ,15.9,<1> ,0.33,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.3,<4> ,5,<4> ,"",<-1> ,
"narncwq  ","P",03/14/2002 14:00,1,1,"",11.4,<4> ,"",<4> ,"",<4> ,169.5,<1> ,16.5,<1> ,0.33,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.4,<4> ,2,<4> ,"",<-1> ,
"narncwq  ","P",03/14/2002 14:30,1,1,"",11.5,<4> ,"",<4> ,"",<4> ,149.7,<1> ,14.5,<1> ,0.33,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.3,<4> ,1,<4> ,"",<-1> ,
"narncwq  ","P",03/14/2002 15:00,1,1,"",11.7,<4> ,"",<4> ,"",<4> ,141.6,<1> ,13.7,<1> ,0.33,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.4,<4> ,1,<4> ,"",<-1> ,
"narncwq  ","P",03/14/2002 15:30,1,1,"",12.2,<4> ,"",<4> ,"",<4> ,147.9,<1> ,14.2,<1> ,0.33,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.4,<4> ,2,<4> ,"",<-1> ,
"narncwq  ","P",03/14/2002 16:00,1,1,"",12.7,<4> ,"",<4> ,"",<4> ,150.9,<1> ,14.3,<1> ,0.33,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.4,<4> ,1,<4> ,"",<-1> ,
"narncwq  ","P",03/14/2002 16:30,1,1,"",12.6,<4> ,"",<4> ,"",<4> ,158.9,<1> ,15.1,<1> ,0.33,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.5,<4> ,1,<4> ,"",<-1> ,
"narncwq  ","P",03/14/2002 17:00,1,1,"",12.8,<4> ,"",<4> ,"",<4> ,162.5,<1> ,15.4,<1> ,0.32,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.5,<4> ,3,<4> ,"",<-1> ,
"narncwq  ","P",03/14/2002 17:30,1,1,"",12.8,<4> ,"",<4> ,"",<4> ,162.8,<1> ,15.4,<1> ,0.32,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.5,<4> ,1,<4> ,"",<-1> ,
"narncwq  ","P",03/14/2002 18:00,1,1,"",12.8,<4> ,"",<4> ,"",<4> ,164.2,<1> ,15.5,<1> ,0.33,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.4,<4> ,1,<4> ,"",<-1> ,
"narncwq  ","P",03/14/2002 18:30,1,1,"",12.8,<4> ,"",<4> ,"",<4> ,164.1,<1> ,15.5,<1> ,0.33,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.4,<4> ,1,<4> ,"",<-1> ,
"narncwq  ","P",03/14/2002 19:00,1,1,"",13.1,<4> ,"",<4> ,"",<4> ,162.8,<1> ,15.3,<1> ,0.39,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.4,<4> ,1,<4> ,"",<-1> ,
"narncwq  ","P",03/14/2002 19:30,1,1,"",11.2,<4> ,"",<4> ,"",<4> ,116.6,<4> ,11.5,<4> ,0.54,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,1,<4> ,"",<-1> ,
"narncwq  ","P",03/14/2002 20:00,1,1,"",9.6,<4> ,"",<4> ,"",<4> ,108.8,<4> ,11.1,<4> ,0.66,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.1,<4> ,1,<4> ,"",<-1> ,
"narncwq  ","P",03/14/2002 20:30,1,1,"",9.0,<4> ,"",<4> ,"",<4> ,107.1,<4> ,11.0,<4> ,0.7,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.1,<4> ,0,<4> ,"",<-1> ,
"narncwq  ","P",03/14/2002 21:00,1,1,"",9.0,<4> ,"",<4> ,"",<4> ,105.8,<4> ,10.9,<4> ,0.68,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.1,<4> ,0,<4> ,"",<-1> ,
