"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"narpcnut  ","P",01/23/2004 12:26,1,1,1         ,1         ,"",0.0102,<4>  ,0.0053,<4>  ,0.0025,<4>  ,0.0415,<4>  C                   ,0.0440,<4>  ,5.4000,<4>  ,
"narpcnut  ","P",01/23/2004 12:28,1,1,1         ,2         ,"",0.0108,<4>  ,0.0038,<4>  ,0.0024,<4>  ,0.0416,<4>  C                   ,0.0440,<4>  ,8.1500,<4>  ,
"narpcnut  ","P",02/29/2004 8:28,1,1,1         ,1         ,"",0.0071,<4>  ,0.0078,<4>  ,0.0008,<4>  ,0.0022,<4>  C                   ,0.0030,<4>  ,1.6900,<4>  ,
"narpcnut  ","P",02/29/2004 8:30,1,1,1         ,2         ,"",0.0059,<4>  ,0.0081,<4>  ,0.0008,<4>  ,0.0012,<4>  C                   ,0.0020,<4>  ,2.5200,<4>  ,
"narpcnut  ","P",03/30/2004 8:58,1,1,1         ,1         ,"",0.0012,<4>  ,0.0018,<4>  ,0.0001,<4>  B                   ,"",<4>  B - C               ,0.0001,<4>  B                   ,1.6900,<4>  ,
"narpcnut  ","P",03/30/2004 9:00,1,1,1         ,2         ,"",0.0006,<4>  ,0.0018,<4>  ,0.0001,<4>  B                   ,"",<4>  B - C               ,0.0001,<4>  B                   ,2.0600,<4>  ,
"narpcnut  ","P",04/30/2004 9:33,1,1,1         ,1         ,"",0.0096,<4>  ,0.0106,<4>  ,0.0003,<4>  ,0.0017,<4>  C                   ,0.0020,<4>  ,0.5000,<4>  ,
"narpcnut  ","P",04/30/2004 9:35,1,1,1         ,2         ,"",0.0090,<4>  ,0.0052,<4>  ,0.0001,<4>  ,0.0019,<4>  C                   ,0.0020,<4>  ,0.7000,<4>  ,
"narpcnut  ","P",05/27/2004 7:45,1,1,1         ,1         ,"",0.0146,<4>  ,0.0056,<4>  ,0.0004,<4>  ,0.0006,<4>  C                   ,0.0010,<4>  ,1.2000,<4>  ,
"narpcnut  ","P",05/27/2004 7:48,1,1,1         ,2         ,"",0.0217,<4>  ,0.0144,<4>  ,0.0006,<4>  ,0.0014,<4>  C                   ,0.0020,<4>  ,1.2000,<4>  ,
"narpcnut  ","P",06/28/2004 9:32,1,1,1         ,1         ,"",0.0310,<4>  ,0.0038,<4>  ,0.0001,<4>  B                   ,"",<4>  B - C               ,0.0020,<4>  ,2.4700,<4>  ,
"narpcnut  ","P",06/28/2004 9:33,1,1,1         ,2         ,"",0.0356,<4>  ,0.0048,<4>  ,0.0001,<4>  B                   ,"",<4>  B - C               ,0.0020,<4>  ,1.8700,<4>  ,
"narpcnut  ","P",07/27/2004 9:05,1,1,1         ,1         ,"",0.0499,<4>  ,0.0020,<4>  ,0.0001,<4>  ,"",<4>  B - C               ,0.0001,<4>  B                   ,2.0800,<4>  ,
"narpcnut  ","P",07/27/2004 9:07,1,1,1         ,2         ,"",0.0499,<4>  ,0.0018,<4>  ,0.0001,<4>  ,"",<4>  B - C               ,0.0001,<4>  B                   ,3.3400,<4>  ,
"narpcnut  ","P",08/26/2004 9:36,1,1,1         ,1         ,"",0.0449,<4>  ,0.0043,<4>  ,0.0008,<4>  ,0.0102,<4>  C                   ,0.0110,<4>  ,4.4900,<4>  ,
"narpcnut  ","P",08/26/2004 9:38,1,1,1         ,2         ,"",0.0449,<4>  ,0.0046,<4>  ,0.0010,<4>  ,"",<4>  B - C               ,0.0010,<4>  ,2.3600,<4>  ,
"narpcnut  ","P",09/28/2004 12:12,1,1,1         ,1         ,"",0.0468,<4>  ,0.0053,<4>  ,0.0006,<4>  ,0.0014,<4>  C                   ,0.0020,<4>  ,0.6200,<4>  ,
"narpcnut  ","P",09/28/2004 12:15,1,1,1         ,2         ,"",0.0424,<4>  ,0.0067,<4>  ,0.0004,<4>  ,0.0026,<4>  C                   ,0.0030,<4>  ,1.0300,<4>  ,
"narpcnut  ","P",10/26/2004 11:11,1,1,1         ,1         ,"",0.0307,<4>  ,0.0088,<4>  ,0.0063,<4>  ,0.0197,<4>  C                   ,0.0260,<4>  ,1.6200,<4>  ,
"narpcnut  ","P",10/26/2004 11:14,1,1,1         ,2         ,"",0.0310,<4>  ,0.0078,<4>  ,0.0063,<4>  ,0.0207,<4>  C                   ,0.0270,<4>  ,1.7800,<4>  ,
"narpcnut  ","P",11/22/2004 9:40,1,1,1         ,1         ,"",0.0495,<4>  ,0.0665,<4>  ,0.0133,<4>  ,0.1087,<4>  C                   ,0.1220,<4>  ,1.1500,<4>  ,
"narpcnut  ","P",11/22/2004 9:43,1,1,1         ,2         ,"",0.0486,<4>  ,0.0665,<4>  ,0.0133,<4>  ,0.1157,<4>  C                   ,0.1290,<4>  ,1.2300,<4>  ,
"narpcnut  ","P",12/28/2004 12:20,1,1,1         ,1         ,"",0.0186,<4>  ,0.0214,<4>  ,0.0113,<4>  ,0.1717,<4>  C                   ,0.1830,<4>  ,0.5800,<4>  ,
"narpcnut  ","P",12/28/2004 12:22,1,1,1         ,2         ,"",0.0192,<4>  ,0.0224,<4>  ,0.0112,<4>  ,0.1798,<4>  C                   ,0.1910,<4>  ,0.5200,<4>  ,
