"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"nartbnut  ","P",01/08/2009 11:07,1,1,1         ,1         ,"{CHB}",0.0210,<1> (CHB) ,0.0210,<1> (CHB) ,0.0040,<1> (CHB) ,0.1010,<1> (CHB) ,0.1050,<1> (CHB) ,0.5500,<5> (CSM) ,
"nartbnut  ","P",01/08/2009 11:10,1,1,1         ,2         ,"{CHB}",0.0190,<1> (CHB) ,0.0020,<1> (CHB) ,0.0040,<1> (CHB) ,0.1010,<1> (CHB) ,0.1050,<1> (CHB) ,0.3200,<5> (CSM) ,
"nartbnut  ","P",01/21/2009 10:00,1,1,2         ,1         ,"{CHB}",0.0160,<1> (CHB) ,0.0007,<-4> [SBL] (CHB) ,0.0030,<1> (CHB) ,0.0980,<1> (CHB) ,0.1010,<1> (CHB) ,0.2500,<5> (CSM) ,
"nartbnut  ","P",01/21/2009 12:15,1,1,2         ,1         ,"{CHB}",0.0180,<1> (CHB) ,0.0160,<1> (CHB) ,0.0020,<1> (CHB) ,0.0990,<1> (CHB) ,0.1010,<1> (CHB) ,0.3400,<5> (CSM) ,
"nartbnut  ","P",01/21/2009 14:30,1,1,2         ,1         ,"{CHB}",0.0180,<1> (CHB) ,0.0260,<1> (CHB) ,0.0030,<1> (CHB) ,0.1090,<1> (CHB) ,0.1120,<1> (CHB) ,0.6600,<5> (CSM) ,
"nartbnut  ","P",01/21/2009 16:45,1,1,2         ,1         ,"{CHB}",0.0150,<1> (CHB) ,0.0100,<1> (CHB) ,0.0030,<1> (CHB) ,0.1090,<1> (CHB) ,0.1120,<1> (CHB) ,0.5400,<5> (CSM) ,
"nartbnut  ","P",01/21/2009 19:00,1,1,2         ,1         ,"{CHB}",0.0210,<1> (CHB) ,0.0340,<1> (CHB) ,0.0030,<1> (CHB) ,0.1030,<1> (CHB) ,0.1060,<1> (CHB) ,0.2700,<5> (CSM) ,
"nartbnut  ","P",01/21/2009 21:15,1,1,2         ,1         ,"{CHB}",0.0210,<1> (CHB) ,0.0330,<1> (CHB) ,0.0040,<1> (CHB) ,0.1210,<1> (CHB) ,0.1250,<1> (CHB) ,0.3400,<5> (CSM) ,
"nartbnut  ","P",01/21/2009 23:30,1,1,2         ,1         ,"{CHB}",0.0210,<1> (CHB) ,0.0320,<1> (CHB) ,0.0040,<1> (CHB) ,0.1100,<1> (CHB) ,0.1140,<1> (CHB) ,0.3100,<5> (CSM) ,
"nartbnut  ","P",01/22/2009 1:45,1,1,2         ,1         ,"{CHB}",0.0200,<1> (CHB) ,0.0280,<1> (CHB) ,0.0040,<1> (CHB) ,0.1180,<1> (CHB) ,0.1220,<1> (CHB) ,0.7400,<5> (CSM) ,
"nartbnut  ","P",01/22/2009 4:00,1,1,2         ,1         ,"{CHB}",0.0220,<1> (CHB) ,0.0270,<1> (CHB) ,0.0040,<1> (CHB) ,0.1160,<1> (CHB) ,0.1200,<1> (CHB) ,0.4200,<5> (CSM) ,
"nartbnut  ","P",01/22/2009 6:15,1,1,2         ,1         ,"{CHB}",0.0150,<1> (CHB) ,0.0060,<1> (CHB) ,0.0030,<1> (CHB) ,0.0850,<1> (CHB) ,0.0880,<1> (CHB) ,0.5200,<5> (CSM) ,
"nartbnut  ","P",01/22/2009 8:30,1,1,2         ,1         ,"{CHB}",0.0140,<1> (CHB) ,0.0070,<1> (CHB) ,0.0030,<1> (CHB) ,0.0990,<1> (CHB) ,0.1020,<1> (CHB) ,0.2700,<5> (CSM) ,
"nartbnut  ","P",01/22/2009 10:45,1,1,2         ,1         ,"{CHB}",0.0220,<1> (CHB) ,0.0310,<1> (CHB) ,0.0040,<1> (CHB) ,0.1140,<1> (CHB) ,0.1180,<1> (CHB) ,0.5000,<5> (CSM) ,
"nartbnut  ","P",02/05/2009 9:22,1,1,1         ,1         ,"{CHB}",0.0130,<1> (CHB) ,0.0007,<-4> [SBL] (CHB) ,0.0030,<1> (CHB) ,0.0700,<1> (CHB) ,0.0730,<1> (CHB) ,0.5500,<5> (CSM) ,
"nartbnut  ","P",02/05/2009 9:25,1,1,1         ,2         ,"{CHB}",0.0140,<1> (CHB) ,0.0007,<-4> [SBL] (CHB) ,0.0030,<1> (CHB) ,0.0760,<1> (CHB) ,0.0790,<1> (CHB) ,0.8000,<5> (CSM) ,
"nartbnut  ","P",02/23/2009 11:00,1,1,2         ,1         ,"{CHB}",0.0020,<1> (CHB) ,0.0007,<-4> [SBL] (CHB) ,0.0060,<1> (CHB) ,0.0030,<1> (CHB) ,0.0090,<1> (CHB) ,3.6400,<5> (CSM) ,
"nartbnut  ","P",02/23/2009 13:15,1,1,2         ,1         ,"{CHB}",0.0010,<1> (CHB) ,0.0007,<-4> [SBL] (CHB) ,0.0010,<1> (CHB) ,0.0010,<1> (CHB) ,0.0020,<1> (CHB) ,2.0600,<5> (CSM) ,
"nartbnut  ","P",02/23/2009 15:30,1,1,2         ,1         ,"{CHB}",0.0270,<1> (CHB) ,0.0100,<1> (CHB) ,0.0010,<1> (CHB) ,0.0030,<1> (CHB) ,0.0040,<1> (CHB) ,3.1700,<5> (CSM) ,
"nartbnut  ","P",02/23/2009 17:45,1,1,2         ,1         ,"{CHB}",0.0100,<1> (CHB) ,0.0460,<1> (CHB) ,0.0010,<1> (CHB) ,0.0030,<1> (CHB) ,0.0040,<1> (CHB) ,5.1500,<5> (CSM) ,
"nartbnut  ","P",02/23/2009 20:00,1,1,2         ,1         ,"{CHB}",0.0020,<1> (CHB) ,0.0020,<1> (CHB) ,0.0010,<1> (CHB) ,0.0040,<1> (CHB) ,0.0050,<1> (CHB) ,3.7000,<5> (CSM) ,
"nartbnut  ","P",02/23/2009 22:15,1,1,2         ,1         ,"{CHB}",0.0040,<1> (CHB) ,0.0007,<-4> [SBL] (CHB) ,0.0003,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0060,<1> (CHB) ,2.5900,<5> (CSM) ,
"nartbnut  ","P",02/24/2009 0:30,1,1,2         ,1         ,"{CHB}",0.0040,<1> (CHB) ,0.0007,<-4> [SBL] (CHB) ,0.0030,<1> (CHB) ,0.0090,<1> (CHB) ,0.0120,<1> (CHB) ,3.4600,<5> (CSM) ,
"nartbnut  ","P",02/24/2009 2:45,1,1,2         ,1         ,"{CHB}",0.0040,<1> (CHB) ,0.0010,<1> (CHB) ,0.0003,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0040,<1> (CHB) ,3.8300,<5> (CSM) ,
"nartbnut  ","P",02/24/2009 5:00,1,1,2         ,1         ,"{CHB}",0.0060,<1> (CHB) ,0.0250,<1> (CHB) ,0.0010,<1> (CHB) ,0.0020,<1> (CHB) ,0.0030,<1> (CHB) ,3.4900,<5> (CSM) ,
"nartbnut  ","P",02/24/2009 7:15,1,1,2         ,1         ,"{CHB}",0.0003,<-4> [SBL] (CHB) ,0.0010,<1> (CHB) ,0.0010,<1> (CHB) ,0.0010,<1> (CHB) ,0.0020,<1> (CHB) ,4.1700,<5> (CSM) ,
"nartbnut  ","P",02/24/2009 9:30,1,1,2         ,1         ,"{CHB}",0.0050,<1> (CHB) ,0.0020,<1> (CHB) ,0.0010,<1> (CHB) ,0.0070,<1> (CHB) ,0.0080,<1> (CHB) ,4.9600,<5> (CSM) ,
"nartbnut  ","P",02/24/2009 11:45,1,1,2         ,1         ,"{CHB}",0.0020,<1> (CHB) ,0.0010,<1> (CHB) ,0.0030,<1> (CHB) ,0.0120,<1> (CHB) ,0.0150,<1> (CHB) ,3.4600,<5> (CSM) ,
"nartbnut  ","P",03/09/2009 11:27,1,1,1         ,1         ,"{CHB}",0.0060,<1> (CHB) ,0.0070,<1> (CHB) ,0.0003,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0020,<1> (CHB) ,3.7000,<5> (CSM) ,
"nartbnut  ","P",03/09/2009 11:30,1,1,1         ,2         ,"{CHB}",0.0040,<1> (CHB) ,0.0310,<1> (CHB) ,0.0030,<1> (CHB) ,0.0030,<1> (CHB) ,0.0060,<1> (CHB) ,3.0600,<5> (CSM) ,
