"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"nartsnut  ","P",01/02/2008 9:27,1,1,1         ,1         ,"{CHB}",0.0170,<1> (CHB) ,0.0090,<1> (CHB) ,0.0003,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0350,<1> (CHB) ,6.5500,<5> (CSM) ,
"nartsnut  ","P",01/02/2008 9:31,1,1,1         ,2         ,"{CHB}",0.0170,<1> (CHB) ,0.0070,<1> (CHB) ,0.0003,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0360,<1> (CHB) ,12.1500,<5> (CSM) ,
"nartsnut  ","P",01/18/2008 8:30,1,1,1         ,1         ,"{CHB}",0.0060,<1> (CHB) ,0.0040,<1> (CHB) ,0.0003,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0020,<1> (CHB) ,5.4700,<5> (CSM) ,
"nartsnut  ","P",01/18/2008 8:33,1,1,1         ,2         ,"{CHB}",0.0050,<1> (CHB) ,0.0020,<1> (CHB) ,0.0003,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0003,<-4> [SBL] (CHB) ,1.5800,<5> (CSM) ,
"nartsnut  ","P",02/20/2008 12:00,1,1,1         ,1         ,"{CHB}",0.0003,<-4> [SBL] (CHB) ,0.0090,<1> (CHB) ,0.0010,<1> (CHB) ,0.0020,<1> (CHB) ,0.0030,<1> (CHB) ,4.0700,<5> [SRD] (CSM) ,
"nartsnut  ","P",02/20/2008 12:03,1,1,1         ,2         ,"{CHB}",0.0010,<1> (CHB) ,0.0080,<1> (CHB) ,0.0010,<1> (CHB) ,0.0020,<1> (CHB) ,0.0030,<1> (CHB) ,15.5800,<5> [SRD] (CSM) ,
"nartsnut  ","P",03/31/2008 8:00,1,1,1         ,1         ,"{CHB}",0.0003,<-4> [SBL] (CHB) ,0.0080,<1> (CHB) ,0.0010,<1> (CHB) ,"",<-4> [SCB] (CHB) ,0.0003,<-4> [SBL] (CHB) ,2.0100,<5> (CSM) ,
"nartsnut  ","P",03/31/2008 8:03,1,1,1         ,2         ,"{CHB}",0.0020,<1> (CHB) ,0.0060,<1> (CHB) ,0.0003,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0003,<-4> [SBL] (CHB) ,1.3500,<5> (CSM) ,
"nartsnut  ","P",04/30/2008 8:30,1,1,1         ,1         ,"{CHB}",0.0130,<1> (CHB) ,0.0090,<1> (CHB) ,0.0003,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0030,<1> (CHB) ,3.0900,<5> (CSM) ,
"nartsnut  ","P",04/30/2008 8:33,1,1,1         ,2         ,"{CHB}",0.0120,<1> (CHB) ,0.0090,<1> (CHB) ,0.0010,<1> (CHB) ,0.0020,<1> (CHB) ,0.0030,<1> (CHB) ,2.7700,<5> (CSM) ,
"nartsnut  ","P",05/29/2008 7:15,1,1,1         ,1         ,"{CHB}",0.0030,<1> (CHB) ,0.0050,<1> (CHB) ,0.0003,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0003,<-4> [SBL] (CHB) ,0.7900,<5> (CSM) ,
"nartsnut  ","P",05/29/2008 7:18,1,1,1         ,2         ,"{CHB}",0.0070,<1> (CHB) ,0.0030,<1> (CHB) ,0.0003,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0003,<-4> [SBL] (CHB) ,1.5300,<5> (CSM) ,
